数据集名称,异常情况,指标名称
0bd017d167681bbec2efef0dfa54decb,出现异常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj2-rd-geass-prod-06""}[2m])"
bd07d873940e2132949c70ca1da2150a,正常,"probe_duration_seconds{hostname=~""bj1-rd-geass-prod-01""}"
5fc97fa23b1b50a40d8e213b5c44fc54,正常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-geass-prod-01""}[2m])"
caf46f76175581dcb2d9e0e8feadf15b,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj2-rd-geass-prod-06""}[2m])"
2566d947bc1f5aa3247dfa0cb980069c,正常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-geass-prod-01""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-geass-prod-01""}))*100"
f9c8c7fe49e15cf0521d779c9e163329,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj2-rd-geass-prod-06"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj2-rd-geass-prod-06"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
95d76c9af8fbca9b6ca0d600e37a0720,正常,"node_sockstat_TCP_inuse{hostname=~""bj1-rd-geass-prod-04""}"
bf6cbeb8add6a7ad5010061cfd172bc4,正常,"sum(increase(geass_pay_scheduler_counter{mode=""push_auth_check""}[2m]))"
714b3c39e1faaccb36025a2b9e63a2fd,正常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj2-rd-geass-prod-03""}/node_memory_MemTotal_bytes{hostname=~""bj2-rd-geass-prod-03""}))*100"
9e50b9ac437716c747eb84ab89f2631b,正常,"sum(increase(geass_pay_scheduler_counter{mode=""release_pay_order""}[2m]))"
d09f004cdeedc7fa8b3b32e67649288d,正常,"node_sockstat_TCP_tw{hostname=~""bj2-rd-geass-prod-03""}"
105ef4da40d48dfa8468e1c1be1ce465,正常,"node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-geass-prod-04""}"
74dc1bd6ec953fbfa0115f8131966c0b,正常,"node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-geass-prod-01""}"
337663a086ba14de9097e2600ba8155f,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj2-rd-geass-prod-03"", mode=~""idle""}[2m])) by (mode, hostname)"
0be4097b621649d7c93ab581377fcd45,正常,"node_sockstat_TCP_alloc{hostname=~""bj1-rd-geass-prod-04""}"
7e4ea9f17072596bf12d6403e207a511,出现异常,"@[DumpDayBillsV2] <*> failed, <*> <*> no such file or directory, <*> <*> <*>"
bd08ce6b65bb5fb60918d2effb3e8aba,出现异常,"probe_duration_seconds{hostname=~""bj2-rd-geass-prod-03""}"
ad921d60486366258809553a3db49a4a,出现异常,unknown
32ce9b2ac6cc1b033319348400310b9c,正常,"sum(geass_pay_scheduler_guage{mode=""not_consume""})"
56a2e241180a1f7c7add0785fd44a58d,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj1-rd-geass-prod-05"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
ec01b0cbd6d240fef73d840df83d075c,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-01"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
68ae60dd94fc6f1839b3dfade6bebe59,正常,sum(increase(geass_server_pay_new_order{}[1m]))
c00457e11b59530938f6a3e65f36e2bc,正常,"sum(increase(geass_pay_scheduler_counter{ mode=""consume_done""}[2m]))/2"
21d72972daf5f17d4bb8fc7f817c424a,出现异常,"probe_duration_seconds{hostname=~""bj2-rd-geass-prod-06""}"
5143d62b5dca687b3ab42c113f6352af,正常,"sum(geass_pay_scheduler_guage{dealer=~""huoshan|03846658|09934414|04236904|04742796|05554802|07903142|06093840|04060592|05697813|07450151|03879479|01169402|05959070|03011133|04383882|05124946|09697747|04821802"", mode=""pay_order""})"
5bf4b1e5c2bc0b6a02d6417981d1acb1,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-01"", mode=~""idle""}[2m])) by (mode, hostname)"
f562fcbe3a71ecb3714c27d0dfae3151,出现异常,"irate(node_disk_written_bytes_total{hostname=~""bj2-rd-geass-prod-06""}[2m])"
d9ef71c8c92fc9c78fdd135aef8339f5,正常,"node_sockstat_TCP_tw{hostname=~""bj2-rd-geass-prod-06""}"
c39d714ecb7648c2286331314b487988,正常,"node_netstat_Tcp_CurrEstab{hostname=~""bj2-rd-geass-prod-06""}"
d6e92c70aafc868a283cbaa039638b2c,正常,"probe_duration_seconds{hostname=~""bj1-rd-geass-prod-04""}"
8cf80bfac9fff709c18fc7a84a6fe4eb,出现异常,"irate(node_network_receive_bytes_total{hostname=~""bj2-rd-geass-prod-06"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
0ffeaeaeca6b96ae9cfed42240365f9e,正常,"irate(node_disk_read_time_seconds_total{hostname=~""bj2-rd-geass-prod-06""}[2m])"
b0db341422edaff787682cd2473ee6d2,出现异常,"sum(increase(geass_pay_scheduler_counter{dealer=~""huoshan|03846658|09934414|04236904|04742796|05554802|07903142|06093840|04060592|05697813|07450151|03879479|01169402|05959070|03011133|04383882|05124946|09697747|04821802"", mode=""push_pay_order""}[5m]))"
db3b5151eed30a9a5ce7ceafc558cc46,正常,"sum(increase(geass_server_pay_new_order{type=""manual""}[1m]))"
a3b61ef9af57faf852963f301fe29e27,正常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-geass-prod-05""}[2m])"
995bd80f018ca0f0c3d11d63734d8c52,出现异常,"node_load15{hostname=~""bj1-rd-geass-prod-04""}"
24de898760fd28d1dece47d012488f5b,正常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-geass-prod-02""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-geass-prod-02""}))*100"
8ee9c805de2922911b2a33ba3b2981b5,正常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj1-rd-geass-prod-01""}[2m])"
2e4eb1ede16f6e8aaef84f82f6dede15,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj2-rd-geass-prod-06"", mode=~""idle""}[2m])) by (mode, hostname)"
ef84af9150dc927b55ade46b31759ddd,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj1-rd-geass-prod-02""}[2m])"
590264ec9ff1daae04f70c163f790183,出现异常,"irate(node_disk_read_time_seconds_total{hostname=~""bj1-rd-geass-prod-01""}[2m])"
60c93e9541a6b518f136ee546e6df17c,出现异常,"node_sockstat_TCP_tw{hostname=~""bj1-rd-geass-prod-04""}"
b1e079989a89cd6dfc27697490b375fc,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-02"", mode=~""idle""}[2m])) by (mode, hostname)"
c631cb94e9597d821fd4f820e98cb90b,正常,"sum(increase(geass_pay_scheduler_counter{mode=""fetch_order""}[2m]))"
ae62fb9c83a2e8bf555bfc1e850196da,正常,"irate(node_disk_writes_completed_total{hostname=~""bj1-rd-geass-prod-05""}[2m])"
c71419e407a4b22010cadca36ceaf84e,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj1-rd-geass-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
97d47ff5a30479f9b14a85a24c69e4fc,正常,"irate(node_network_receive_bytes_total{hostname=~""bj1-rd-geass-prod-02"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
ea5448430fbe5ee2024e6a22e751503d,出现异常,"node_load15{hostname=~""bj1-rd-geass-prod-02""}"
c3630721e555a9274fd52e406cab4c04,正常,"node_sockstat_TCP_inuse{hostname=~""bj1-rd-geass-prod-01""}"
17f8b9e4a24ab126c24ebc1ac7299998,正常,"irate(node_disk_writes_completed_total{hostname=~""bj1-rd-geass-prod-04""}[2m])"
24124a34ac2b20653e6422d635f7ed95,正常,"irate(node_netstat_Tcp_PassiveOpens{hostname=~""bj1-rd-geass-prod-02""}[2m])"
26bf18e758ab467b5d1ad182ddc90ad9,出现异常,sum(geass_server_pay_verify_order_queue)
08b7e246e94b55f9a7191fd06349b8c8,正常,"sum(increase(geass_pay_scheduler_counter{mode=""release_auth_check""}[2m]))"
5f56af72bb9c24d80f28d50ea9007006,出现异常,"node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-geass-prod-02""}"
975ab728770b6e65061cab7b9bc88c0b,正常,"irate(node_disk_read_bytes_total{hostname=~""bj1-rd-geass-prod-05""}[2m])"
707662bde3960114099d0b51d82ce656,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-04"", mode=~""idle""}[2m])) by (mode, hostname)"
4854c3db58aa5fd29df287bfd431646b,出现异常,"irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-geass-prod-01""}[2m])"
edb5d4d4836c8cc2637c84e7edc7a6d2,出现异常,"node_load5{hostname=~""bj1-rd-geass-prod-02""}"
48ca0677bd8d2fb3a15cef9a8e7892f9,正常,"irate(node_disk_reads_completed_total{hostname=~""bj2-rd-geass-prod-06""}[2m])"
c7c743d7f2c9bc26b3c97333257f3430,正常,"sum( increase(std_grpc_server_handled_total{job=""be/geass"",environment=""prod"", grpc_code=""OK""}[2m])) by(job,grpc_code)"
2ae0e0c4af05a8bd6090df2f61f42be9,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/""})"
62692def4f88de98784351899fe95895,正常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/""})"
a4e26ea48641141fb0ca203272c89a65,正常,"probe_duration_seconds{hostname=~""bj1-rd-geass-prod-05""}"
a8c6c1c8c583e456a28a2f4965b3a402,出现异常,"node_load1{hostname=~""bj2-rd-geass-prod-03""}"
6f4b1da1a73ea045a5cd16e59ef0f1e4,出现异常,"node_load1{hostname=~""bj1-rd-geass-prod-02""}"
af11d4637e25df9d2d5d403c5fc0b20b,正常,"irate(node_disk_writes_completed_total{hostname=~""bj2-rd-geass-prod-06""}[2m])"
