数据集名称,异常情况,指标名称
19930931b560277fcf06ecc09f41e752,出现异常,AuthListByName <:<:ChineseInfo:>:>
001af3fb6b4d143bcf025ea210b71ead,出现异常,getBackupEmp success
da81895da6336e6fd1b8c6ac997f6e88,出现异常,"(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100"
b1bd7c01c3ef58909e115c5936d39ad0,出现异常,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
f5fdfdaf76bb2300a23ab66502c43385,出现异常,"sum(rate(container_network_transmit_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"", node=""10.200.64.186"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8"
e4aa88345de77d0282de38d940b97037,出现异常,<:staticStrategies:>
da340877fa5ea2f1c201aedfc91d22bc,出现异常,computeDeptMembersObjectIDs end
f128e17cfd250649baef37f04d6c19b9,出现异常,get metadata from header
853015ced4aeeb33a38c6866d33110a3,出现异常,<:REQ:>
a12a3588ce6e1070ca3dd19d3b8acf4c,出现异常,Response=<:MAP:>
f166d657d2c1f5b3655dac342c70484f,出现异常,"container_memory_rss{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"",metrics_path=""/metrics/cadvisor""} / 1048576"
e937d159618b42e3d8ca2cad01913f7e,出现异常,svc.ApproveCallback failed
a4a58c952a98e5616e4e5acf3cc4a933,出现异常,no need or no have tags
846742433ba5f1050076edcba36e248b,出现异常,"irate (container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container="""",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"",metrics_path=""/metrics/cadvisor""} [1m]) * 100"
aedcea2b95e6a07cb77a9a0da350ab7f,出现异常,loaded policy count:<:NUM:>
a47f48821fc1ffe7057a87438b541bec,出现异常,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
ba7e4d879f5b61c48192f115c8423009,出现异常,getDept success
c1066526e3b973229933e0fb9d037bbf,出现异常,approve callback start
7023eefc5d78a5c7551373c93600b099,出现异常,infra.grpc.invoker
78e731027d8fd50ed642340b7c9a63b3,出现异常,message
3415e4bc823ff9c472ee313e2c790cf9,出现异常,parse metadata
cb12e6d152c39675bebadcf33887e185,出现异常,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
9201d1cd756a9806afbea36657786c0d,出现异常,GetSupervisorPosition success
acc9b27a031b8d0328379149f0dfaff9,出现异常,DeleteFieldValues <:REQ:>
ce08cf4f6a573556e44efd5992b77721,出现异常,rego exec input:<:MAP:>
62920d13ca9ff31950a65b98312bcfe0,出现异常,<:list modules:>
5e0cf0fa2956ad7395caae46732f5151,出现异常,computeOwnObjectIDs end
96cb676dcb5b562b6a491bd854b5e733,出现异常,"sum(rate(container_network_receive_bytes_total{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"", pod=~""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"", node=""10.200.64.186"", metrics_path=""/metrics/cadvisor""}[1m])) by (pod,namespace,node) * 8"
addb8708ca4d6be7f10fb32c51d26c4b,出现异常,ClientEnvHandler is <:*:>
4b20aff7926272178b85218712b15cc7,出现异常,<:GIN:>
7a7adbc71b8fae895edc9974876044e2,出现异常,"1-sum(increase(std_grpc_server_handled_total{job=""be/yid"",biz_code=""6000"",environment=""rc"",instance=""yid-k8s-aiops-82-abnormal-79785d8695-s9nzf"",grpc_code=~""Unknown|OK""}[1m]) or increase(std_grpc_server_handled_total{job=""be/yid"",environment=""rc"",instance=""{1}"",grpc_code!~""Unknown|OK""}[1m]))/sum(increase(std_grpc_server_handled_total{job=""be/yid"",instance=""{2}"",environment=""rc""}[1m])) or vector(1)"
ad921d60486366258809553a3db49a4a,出现异常,unknown
96083cc4cec914fa215aec6db9ebaef6,出现异常,Depts only have yunzhanghu
2ce5ac45d4275008d857abb5385cf1b3,出现异常,getPermTagsAndValues <:*:>
190fec651a741dc908508ed5a84bb5e6,出现异常,build <:*:>
6300af06fd5be620cb7ab2f3b3d2c52c,出现异常,parseDataReportFlag ok
6ad2d13248c5eddd35b3dbb2c1dd6a53,出现异常,loadRegoMySQLInterval success
8df10c3d5b13f5e9968401e99475aa04,出现异常,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
6326114b91842880149e9876a90e7bca,正常,superiorAndDeputy empty
e476d2894bb5e9819c8fefb74ac0d59f,出现异常,approve status error
