csvname,anomaly_timestamp,Z_value_1,Z_value_2,Z_value_3,Z_value_4,Z_value_5,Z_value_6,Z_value_7,Z_value_8,Z_value_9,Z_value_10,Z_value_11,Z_value_12,Z_value_13,Z_value_14,Z_value_15,Z_value_16,Z_value_17,Z_value_18,Z_value_19,Z_value_20,Z_value_21,Z_value_22,Z_value_23,Z_value_24,Z_value_25,Z_value_26,Z_value_27,Z_value_28,Z_value_29,Z_value_30,prediction
2034e0850389c3cd736b03f724c07c4a,2024-04-19 14:13:22,13.533333333333331,10.933333333333334,16.2,11.666666666666666,13.2,14.0,11.866666666666667,16.066666666666666,13.066666666666666,11.733333333333333,12.466666666666669,12.866666666666667,15.0,13.0,14.333333333333334,13.933333333333334,12.533333333333331,17.333333333333332,11.933333333333334,13.8,12.133333333333333,12.666666666666666,16.066666666666666,11.8,12.733333333333333,14.333333333333334,13.933333333333334,15.666666666666666,11.4,14.933333333333334,7
54c093b01c7b0c2ebd6d6aa21ada9335,2024-04-18 18:31:22,1442.0,1220.0,1194.0,1307.0,1214.0,1365.0,1254.0,1301.0,1046.0,1271.0,1417.0,1168.0,1008.0,1034.0,957.0,1667.0,1236.0,1245.0,1156.0,1419.0,1386.0,1267.0,1233.0,1455.0,1052.0,1535.0,1267.0,1142.0,1078.0,1092.0,7
bdde7e67f9a95deec89f47f81a4c4d28,2024-04-19 06:23:22,0.31,0.26,0.41,0.21,0.74,0.38,0.31,0.19,0.12,0.25,0.28,0.37,0.42,0.36,0.31,2.48,0.47,0.53,0.33,0.39,0.23,0.1,0.25,0.26,0.79,0.38,0.24,0.19,0.11,1.09,7
bdde7e67f9a95deec89f47f81a4c4d28,2024-04-19 16:01:22,1.03,0.7,1.08,0.59,0.3,1.02,0.6,1.1,1.07,1.43,1.18,0.31,0.3,0.38,0.25,4.1,1.17,0.39,0.77,0.31,0.67,0.5,0.42,0.23,0.24,0.67,0.29,0.65,0.71,0.33,7
3c849f3e30133c842c13c7d65dd48e30,2024-04-19 02:53:22,8.186283712461213,8.121748486687894,8.152338836160999,8.179706788998427,8.169574177251725,8.152700100838741,8.152367590666131,8.17951238834769,8.179475766067986,8.27103645647914,8.288303828923778,7.416839081996155,5.678023689439313,4.382996588605726,9.308255452100736,11.78967069883052,10.949251482226318,8.274725936496848,8.216912232556469,8.128850205767634,8.179531520078392,8.172486719887232,8.152459640443418,8.155627937408143,8.173057146962298,8.169473071081736,8.148913285901303,8.138909773982993,8.159424899965574,8.138855416987393,7
3c849f3e30133c842c13c7d65dd48e30,2024-04-19 02:55:22,8.121748486687894,8.152338836160999,8.179706788998427,8.169574177251725,8.152700100838741,8.152367590666131,8.17951238834769,8.179475766067986,8.27103645647914,8.288303828923778,7.416839081996155,5.678023689439313,4.382996588605726,9.308255452100736,11.78967069883052,10.949251482226318,8.274725936496848,8.216912232556469,8.128850205767634,8.179531520078392,8.172486719887232,8.152459640443418,8.155627937408143,8.173057146962298,8.169473071081736,8.148913285901303,8.138909773982993,8.159424899965574,8.138855416987393,8.152515512663296,7
3c849f3e30133c842c13c7d65dd48e30,2024-04-19 10:41:22,9.617434968679897,9.60003352117059,9.85753829668262,9.749163539250144,9.885033686803618,9.586343550311572,9.50802097811068,9.291420101517865,9.607060911827617,9.647446736835985,9.372976771509688,9.318654455937244,9.311853915577077,9.264395755484635,10.535723353316849,12.301680965287169,12.928769652646825,12.969008856061894,12.728756254631234,12.515071180914562,11.596570161872013,10.288310480050365,9.257648021321806,9.06102707271458,9.050867842643074,9.16965732248791,9.159602838122993,9.230376497193932,9.25424710437385,9.43359782225784,7
3c849f3e30133c842c13c7d65dd48e30,2024-04-19 10:43:22,9.60003352117059,9.85753829668262,9.749163539250144,9.885033686803618,9.586343550311572,9.50802097811068,9.291420101517865,9.607060911827617,9.647446736835985,9.372976771509688,9.318654455937244,9.311853915577077,9.264395755484635,10.535723353316849,12.301680965287169,12.928769652646825,12.969008856061894,12.728756254631234,12.515071180914562,11.596570161872013,10.288310480050365,9.257648021321806,9.06102707271458,9.050867842643074,9.16965732248791,9.159602838122993,9.230376497193932,9.25424710437385,9.43359782225784,9.522012295536346,7
3c849f3e30133c842c13c7d65dd48e30,2024-04-19 10:45:22,9.85753829668262,9.749163539250144,9.885033686803618,9.586343550311572,9.50802097811068,9.291420101517865,9.607060911827617,9.647446736835985,9.372976771509688,9.318654455937244,9.311853915577077,9.264395755484635,10.535723353316849,12.301680965287169,12.928769652646825,12.969008856061894,12.728756254631234,12.515071180914562,11.596570161872013,10.288310480050365,9.257648021321806,9.06102707271458,9.050867842643074,9.16965732248791,9.159602838122993,9.230376497193932,9.25424710437385,9.43359782225784,9.522012295536346,9.257616615950573,7
3c849f3e30133c842c13c7d65dd48e30,2024-04-19 10:47:22,9.749163539250144,9.885033686803618,9.586343550311572,9.50802097811068,9.291420101517865,9.607060911827617,9.647446736835985,9.372976771509688,9.318654455937244,9.311853915577077,9.264395755484635,10.535723353316849,12.301680965287169,12.928769652646825,12.969008856061894,12.728756254631234,12.515071180914562,11.596570161872013,10.288310480050365,9.257648021321806,9.06102707271458,9.050867842643074,9.16965732248791,9.159602838122993,9.230376497193932,9.25424710437385,9.43359782225784,9.522012295536346,9.257616615950573,9.030672300436486,7
