数据集名称,异常情况,指标名称
5bf4b1e5c2bc0b6a02d6417981d1acb1,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-01"", mode=~""idle""}[2m])) by (mode, hostname)"
bd07d873940e2132949c70ca1da2150a,出现异常,"probe_duration_seconds{hostname=~""bj1-rd-geass-prod-01""}"
0b6dc0f28f41adaf5fe5a178607fc526,出现异常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj2-rd-geass-prod-03""}[2m])"
dec71c0556a28c717efef8744ffd0980,出现异常,"irate(node_netstat_Tcp_ActiveOpens{hostname=~""bj1-rd-geass-prod-04""}[2m])"
da98857481dfbe97b4f8b764072e142b,正常,"1-(node_filesystem_free_bytes{hostname=~""bj2-rd-geass-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj2-rd-geass-prod-03"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
4854c3db58aa5fd29df287bfd431646b,出现异常,"irate(node_disk_write_time_seconds_total{hostname=~""bj1-rd-geass-prod-01""}[2m])"
a8c6c1c8c583e456a28a2f4965b3a402,出现异常,"node_load1{hostname=~""bj2-rd-geass-prod-03""}"
24de898760fd28d1dece47d012488f5b,出现异常,"(1-(node_memory_MemAvailable_bytes{hostname=~""bj1-rd-geass-prod-02""}/node_memory_MemTotal_bytes{hostname=~""bj1-rd-geass-prod-02""}))*100"
54b49290875ef3dcff1362db25bea2ff,出现异常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-04"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
105ef4da40d48dfa8468e1c1be1ce465,正常,"node_netstat_Tcp_CurrEstab{hostname=~""bj1-rd-geass-prod-04""}"
b1e079989a89cd6dfc27697490b375fc,出现异常,"1-avg(irate(node_cpu_seconds_total{hostname=~""bj1-rd-geass-prod-02"", mode=~""idle""}[2m])) by (mode, hostname)"
60c93e9541a6b518f136ee546e6df17c,出现异常,"node_sockstat_TCP_tw{hostname=~""bj1-rd-geass-prod-04""}"
22908c49cf157de1ed436e7ba84508d8,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj1-rd-geass-prod-04""}[2m])"
be7bbca087cd3c0d94f4a06caac26a5b,正常,"1-(node_filesystem_free_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""} / node_filesystem_size_bytes{hostname=~""bj1-rd-geass-prod-02"",fstype=~""ext4|xfs"",mountpoint=""/data""})"
60c7546d1033e83a437b0d571a445954,出现异常,"irate(node_disk_read_bytes_total{hostname=~""bj1-rd-geass-prod-01""}[2m])"
287bcb8023c7ed2bc484613049d54610,出现异常,"irate(node_network_receive_bytes_total{hostname=~""bj1-rd-geass-prod-04"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
721e4e83b8da48498d6ed0ad42e1f6d0,出现异常,"irate(node_network_transmit_bytes_total{hostname=~""bj2-rd-geass-prod-03"",device!~""tap.*|veth.*|br.*|docker.*|virbr*|lo*""}[5m])*8"
