parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,ClientEnvHandler is <:*:>,<:GIN:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,timestamp,unknown
2066,2070,2070,2070,7,93,219,93,93,208,11,93,7,155,155,155,93,0,93,219,30,30,11,6,6,0,6,6,6,2,2,2,2023-11-24 13:00:00,0
2034,2032,2032,2032,5,85,236,85,85,219,17,85,5,167,167,167,85,0,85,236,27,27,17,3,3,0,3,3,3,2,2,2,2023-11-24 13:02:00,4
2016,2010,2010,2010,8,87,233,87,87,216,17,87,8,146,146,146,87,0,87,233,27,27,17,3,3,0,3,3,3,2,2,2,2023-11-24 13:04:00,0
2046,2048,2048,2048,6,109,230,109,109,216,14,109,6,155,155,154,109,0,109,230,28,28,14,4,4,1,4,4,3,2,2,2,2023-11-24 13:06:00,1
2022,2024,2024,2024,6,99,227,99,99,216,11,99,6,155,155,155,99,0,99,227,30,30,11,6,6,0,6,6,5,2,2,2,2023-11-24 13:08:00,3
2008,2005,2005,2005,7,93,219,93,93,204,15,93,7,149,149,148,93,0,93,219,27,27,15,3,3,1,3,3,3,2,2,2,2023-11-24 13:10:00,0
2078,2082,2082,2082,2,88,231,88,88,213,18,88,2,159,159,156,88,0,88,231,27,27,18,3,3,3,3,3,3,2,2,2,2023-11-24 13:12:00,0
2025,2029,2029,2029,7,84,278,84,84,214,64,84,7,154,154,152,84,0,84,278,31,30,13,6,6,1,6,5,5,2,2,2,2023-11-24 13:14:00,53
2028,2024,2024,2024,2,89,212,89,89,198,14,89,2,167,167,165,89,0,89,212,27,28,14,4,4,2,3,4,4,2,2,2,2023-11-24 13:16:00,0
2066,2066,2066,2066,7,104,228,104,104,219,9,104,7,155,155,153,104,0,104,228,27,27,9,3,3,0,3,3,3,2,2,2,2023-11-24 13:18:00,4
