parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeDeptMembersObjectIDs end,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,curpkg+name: code.yunzhanghu.com/be/yid/server/grpc/v1/CheckDelay [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,message,superiorAndDeputy empty,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,loadRegoMySQLInterval success,<:list modules:>,GetSupervisorPosition success,timestamp,unknown
13333,13349,13349,13349,4678,242,505,241,241,499,6,241,4678,229,229,229,241,0,241,505,6,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-29 00:00:00,0
12936,12931,12931,12931,4491,243,513,243,243,506,7,243,4491,206,206,205,243,0,243,513,7,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-29 00:02:00,0
13682,13685,13685,13685,4863,264,517,265,265,510,7,265,4863,195,195,195,265,0,265,517,7,29,29,5,5,0,5,5,4,2,2,2,0,2023-11-29 00:04:00,1
13873,13857,13858,13858,4918,277,525,277,277,522,3,277,4918,209,209,209,277,0,277,525,3,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-29 00:06:00,0
13859,13862,13861,13861,4916,267,541,266,266,536,5,266,4916,248,248,248,266,0,266,541,5,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-29 00:08:00,3
13754,13765,13765,13765,4903,243,531,243,243,526,5,243,4903,225,225,224,242,0,243,531,5,26,26,2,2,1,2,2,2,2,2,2,0,2023-11-29 00:10:00,0
13902,13907,13908,13908,4931,275,527,274,274,527,0,274,4931,225,225,225,275,0,274,527,0,29,29,5,5,0,5,5,5,2,2,2,0,2023-11-29 00:12:00,0
13930,13925,13924,13924,4985,254,529,256,256,524,5,256,4985,205,205,205,256,0,256,529,5,25,25,2,2,0,2,2,2,2,2,2,0,2023-11-29 00:14:00,0
13589,13589,13590,13590,4822,271,510,270,270,509,1,270,4822,214,214,214,270,0,270,510,1,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-29 00:16:00,0
13363,13366,13365,13365,4698,259,514,260,260,511,3,260,4698,222,222,221,260,0,260,514,3,28,28,4,4,1,4,4,4,2,2,2,0,2023-11-29 00:18:00,1
14063,14060,14060,14060,4966,267,554,267,267,547,7,267,4966,219,219,219,267,0,267,554,7,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-29 00:20:00,0
13375,13374,13374,13374,4687,262,532,261,261,525,7,261,4687,188,188,187,261,0,261,532,7,27,27,3,3,1,3,3,2,2,2,2,0,2023-11-29 00:22:00,1
13919,13925,13924,13924,4964,277,544,278,278,536,8,278,4964,218,218,217,278,0,278,544,8,28,28,4,4,1,4,4,4,2,2,2,0,2023-11-29 00:24:00,0
13043,13039,13039,13039,4623,264,506,264,264,499,7,264,4623,205,205,205,264,0,264,506,7,26,26,2,2,0,2,2,2,2,2,2,0,2023-11-29 00:26:00,0
