[isEqualDirectSuperior] fanwei Employee not exist in yid,"isEqualDirectSuperior failed, err=fanweiEmployee not exist in yid",the employee does not exist,not find dictionary type=<:NUM:>,AuthSessionVali<:updateFanweiEmployee failed:>,"[securitySessionCheck] GetSecuritySessionFromReq failed, err=securecookie: expired timestamp [trace.id=<:SEQ:> <:transactionID:> <:spanID:>",[securitySessionCheck] CreatAndSaveSessio<:updateFanweiEmployee failed:>,[getOtpKey] <:*:> failed:>,[GetWeChatUserInfo] GetWeChatUserInf<:updateFanweiEmployee failed:>,sync <:*:>,"[SimplePost] failed, <:ERRORPost:>",no employee,[UpdateEmployee] <:SimplePos<:updateFanweiEmployee failed:>,"[updateFanweiEmployee] failed, <:updateEmployeeData:>",<:SimplePos<:updateFanweiEmployee failed:>,can't find addEmp from updateEmp and empMapTo,timestamp,unknown
0,0,958,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 17:27:22,0
0,0,945,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 17:29:22,0
995,995,1002,253,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 17:31:22,28
0,0,1029,69,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 17:33:22,0
995,995,1034,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 17:35:22,0
0,0,954,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 17:37:22,0
0,0,953,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 17:39:22,0
995,995,999,184,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 17:41:22,26
0,0,1023,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 17:43:22,0
0,0,1008,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 17:45:22,0
995,995,949,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 17:47:22,0
0,0,949,46,1,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 17:49:22,0
995,995,999,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 17:51:22,24
0,0,1020,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 17:53:22,2
0,0,1015,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 17:55:22,0
995,995,947,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 17:57:22,0
0,0,968,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 17:59:22,0
995,995,989,184,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 18:01:22,874
0,0,1027,138,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 18:03:22,2
0,0,1005,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:05:22,0
995,995,874,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 18:07:22,0
0,0,944,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:09:22,0
995,995,1024,253,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 18:11:22,26
0,0,1017,69,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 18:13:22,0
0,0,1011,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:15:22,0
995,995,1240,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 18:17:22,0
0,0,952,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:19:22,0
995,995,1000,184,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 18:21:22,26
0,0,1030,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 18:23:22,0
0,0,1003,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:25:22,0
995,995,953,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 18:27:22,0
0,0,946,46,0,0,0,2,2,0,0,0,0,0,0,0,2024-04-13 18:29:22,2
995,995,992,230,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 18:31:22,24
0,0,1036,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 18:33:22,2
0,0,1005,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:35:22,0
995,995,896,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 18:37:22,0
0,0,938,23,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:39:22,0
995,995,1014,230,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 18:41:22,24
0,0,953,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 18:43:22,2
995,995,1002,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:45:22,0
0,0,947,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 18:47:22,0
0,0,957,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:49:22,0
995,995,1006,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 18:51:22,26
0,0,1019,92,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 18:53:22,0
0,0,1008,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:55:22,0
995,995,960,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 18:57:22,0
0,0,945,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 18:59:22,0
995,995,1010,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 19:01:22,26
0,0,998,92,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 19:03:22,0
0,0,1021,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:05:22,0
995,995,951,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 19:07:22,0
0,0,958,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:09:22,0
995,995,1006,230,0,0,0,0,0,1,0,0,0,0,0,1,2024-04-13 19:11:22,26
0,0,1009,92,0,0,0,0,0,0,1,2,1,1,1,0,2024-04-13 19:13:22,0
995,995,1023,69,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-13 19:15:22,0
0,0,948,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 19:17:22,0
0,0,948,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:19:22,0
995,995,1006,184,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 19:21:22,26
0,0,1015,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 19:23:22,0
0,0,1018,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:25:22,0
995,995,940,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 19:27:22,0
0,0,962,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:29:22,0
995,995,1011,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 19:31:22,26
0,0,1017,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 19:33:22,0
0,0,1001,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:35:22,0
995,995,891,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 19:37:22,0
0,0,953,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:39:22,0
995,995,1003,184,0,0,0,0,0,1,0,1,0,0,0,1,2024-04-13 19:41:22,28
0,0,952,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 19:43:22,0
0,0,1004,92,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:45:22,0
995,995,954,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 19:47:22,0
0,0,952,23,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:49:22,0
995,995,947,230,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 19:51:22,24
0,0,1031,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 19:53:22,2
0,0,996,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:55:22,0
995,995,962,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 19:57:22,0
0,0,954,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 19:59:22,0
995,995,1031,184,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 20:01:22,24
0,0,1005,138,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 20:03:22,2
0,0,1000,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:05:22,0
995,995,985,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 20:07:22,0
0,0,918,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:09:22,0
995,995,1032,253,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 20:11:22,26
0,0,1037,69,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 20:13:22,0
0,0,1001,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:15:22,2
995,995,955,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 20:17:22,0
0,0,951,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:19:22,0
995,995,1014,184,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 20:21:22,26
0,0,1020,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 20:23:22,0
0,0,1003,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:25:22,3
995,995,946,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 20:27:22,0
0,0,950,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:29:22,0
995,995,1008,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 20:31:22,24
0,0,1036,138,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 20:33:22,2
0,0,989,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:35:22,0
995,995,954,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 20:37:22,0
0,0,948,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:39:22,0
995,995,1010,207,0,0,0,0,0,1,0,1,0,0,0,1,2024-04-13 20:41:22,24
0,0,954,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 20:43:22,2
995,995,1006,92,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-13 20:45:22,0
0,0,950,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 20:47:22,0
0,0,951,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:49:22,0
995,995,997,253,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 20:51:22,26
0,0,1029,69,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 20:53:22,0
995,995,1016,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:55:22,0
0,0,936,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 20:57:22,3
0,0,961,46,1,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 20:59:22,0
995,995,991,184,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 21:01:22,876
0,0,972,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 21:03:22,0
0,0,1018,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:05:22,0
995,995,936,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 21:07:22,0
0,0,958,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:09:22,0
995,995,1010,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 21:11:22,26
0,0,1013,115,0,0,0,1,1,0,0,1,0,0,0,0,2024-04-13 21:13:22,1
0,0,1009,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:15:22,0
995,995,955,138,0,0,0,2,2,0,1,1,1,1,1,0,2024-04-13 21:17:22,0
0,0,952,46,1,1,1,2,2,0,0,0,0,0,0,0,2024-04-13 21:19:22,4
995,995,991,253,0,0,0,1,1,1,1,1,1,1,1,1,2024-04-13 21:21:22,24
0,0,1029,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 21:23:22,2
0,0,991,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:25:22,0
995,995,968,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 21:27:22,0
0,0,951,46,1,1,1,1,1,0,0,0,0,0,0,0,2024-04-13 21:29:22,0
986,985,996,207,0,0,0,0,0,1,0,1,0,0,0,1,2024-04-13 21:31:22,24
9,10,1023,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 21:33:22,2
995,995,1015,69,1,1,1,1,1,0,1,0,1,1,1,0,2024-04-13 21:35:22,0
0,0,949,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 21:37:22,3
0,0,951,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:39:22,0
995,995,1018,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 21:41:22,28
0,0,975,92,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 21:43:22,0
0,0,1045,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:45:22,0
995,995,949,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 21:47:22,0
0,0,952,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:49:22,0
995,995,998,253,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 21:51:22,26
0,0,1020,69,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 21:53:22,0
0,0,996,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 21:55:22,0
995,995,967,115,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-13 21:57:22,3
0,0,975,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 21:59:22,0
995,995,982,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 22:01:22,26
0,0,1018,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 22:03:22,0
0,0,1018,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:05:22,0
995,995,943,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 22:07:22,0
0,0,953,69,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:09:22,0
995,995,1007,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 22:11:22,24
0,0,1013,115,0,0,0,1,1,0,0,1,0,0,0,0,2024-04-13 22:13:22,2
0,0,1019,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:15:22,0
995,995,895,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 22:17:22,0
0,0,938,46,3,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:19:22,0
995,995,1003,230,0,1,1,1,1,1,1,0,1,1,1,1,2024-04-13 22:21:22,26
0,0,1014,92,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 22:23:22,0
0,0,1009,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:25:22,0
995,995,967,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 22:27:22,0
0,0,940,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:29:22,0
995,995,1002,207,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 22:31:22,26
0,0,957,115,0,0,0,0,0,0,0,2,0,0,0,0,2024-04-13 22:33:22,0
0,0,991,23,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 22:35:22,0
995,995,947,138,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-13 22:37:22,0
0,0,978,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:39:22,0
0,0,1004,184,0,0,0,0,0,1,0,1,0,0,0,1,2024-04-13 22:41:22,26
995,995,1014,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 22:43:22,0
995,995,1010,115,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-13 22:45:22,0
0,0,870,69,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 22:47:22,0
0,0,972,69,1,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:49:22,0
995,995,1004,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 22:51:22,24
0,0,963,115,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:53:22,2
995,995,1005,69,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 22:55:22,0
0,0,946,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 22:57:22,0
0,0,955,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 22:59:22,0
995,995,993,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 23:01:22,29
0,0,1030,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:03:22,0
0,0,1010,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:05:22,0
995,995,931,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 23:07:22,0
0,0,969,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 23:09:22,0
995,995,991,207,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 23:11:22,26
0,0,1020,115,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:13:22,0
0,0,1006,23,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:15:22,0
995,995,962,115,1,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 23:17:22,0
0,0,964,69,0,1,1,1,1,0,0,0,0,0,0,0,2024-04-13 23:19:22,1
995,995,990,184,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 23:21:22,26
0,0,966,138,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 23:23:22,0
0,0,1010,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:25:22,0
995,995,950,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 23:27:22,0
0,0,950,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 23:29:22,0
995,995,1010,207,2,0,0,2,2,1,1,1,1,1,1,1,2024-04-13 23:31:22,24
0,0,1017,138,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 23:33:22,2
0,0,1016,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:35:22,0
995,995,939,138,1,1,1,0,0,0,1,1,1,1,1,0,2024-04-13 23:37:22,0
0,0,954,46,0,0,0,1,1,0,0,0,0,0,0,0,2024-04-13 23:39:22,0
995,995,998,230,0,0,0,0,0,1,1,0,1,1,1,1,2024-04-13 23:41:22,26
0,0,1010,92,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:43:22,0
0,0,1022,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:45:22,0
995,995,954,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 23:47:22,0
0,0,947,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 23:49:22,0
995,995,1003,207,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-13 23:51:22,28
0,0,1027,92,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 23:53:22,0
0,0,1007,46,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-13 23:55:22,0
995,995,962,138,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-13 23:57:22,0
0,0,940,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-13 23:59:22,0
995,995,1071,207,0,0,0,0,0,1,0,1,0,0,0,1,2024-04-14 00:01:22,876
0,0,1025,115,0,0,0,0,0,0,1,0,1,1,1,0,2024-04-14 00:03:22,0
995,995,1001,115,0,0,0,0,0,0,1,1,1,1,1,0,2024-04-14 00:05:22,0
0,0,945,69,0,0,0,0,0,0,0,1,0,0,0,0,2024-04-14 00:07:22,0
0,0,957,46,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:09:22,0
995,995,1016,230,0,0,0,0,0,1,1,1,1,1,1,1,2024-04-14 00:11:22,24
0,0,1014,115,0,0,0,0,0,0,0,0,0,0,0,0,2024-04-14 00:13:22,2
0,0,1007,46,0,0,0,2,2,0,0,1,0,0,0,0,2024-04-14 00:15:22,4
