I_ID,I_ORDER_ID,D_CREATED_AT
7469, 20954, 2023-04-18 09:59:16
7468, 20949, 2023-04-18 09:44:51
7466, 20941, 2023-04-17 17:00:58
7464, 20938, 2023-04-17 16:46:15
7463, 20934, 2023-04-17 16:37:41
7460, 20925, 2023-04-17 10:30:33
7459, 20920, 2023-04-15 11:17:43
7457, 20919, 2023-04-14 23:27:20
7455, 20900, 2023-04-14 20:39:52
7454, 20913, 2023-04-14 20:38:35
7453, 20907, 2023-04-14 20:00:48
7452, 20904, 2023-04-14 20:00:23
7451, 20916, 2023-04-14 19:23:03
7445, 20909, 2023-04-14 17:49:25
7444, 20905, 2023-04-14 17:48:56
7441, 20888, 2023-04-14 17:23:07
7440, 20903, 2023-04-14 17:22:09
7439, 20902, 2023-04-14 17:06:05
7438, 20864, 2023-04-14 16:14:46
7437, 20862, 2023-04-14 16:06:05
7436, 20861, 2023-04-14 16:05:52
7435, 20860, 2023-04-14 16:05:39
7434, 20859, 2023-04-14 16:03:45
7433, 20868, 2023-04-14 16:01:39
7432, 20856, 2023-04-14 16:01:29
7430, 20883, 2023-04-14 14:47:27
7422, 20855, 2023-04-14 10:42:25
7421, 20858, 2023-04-14 10:16:50
7420, 20874, 2023-04-13 20:45:30
7419, 20875, 2023-04-13 20:43:50
7412, 20837, 2023-04-13 15:52:28
7411, 20839, 2023-04-13 15:51:15
7410, 20840, 2023-04-13 15:50:08
7409, 20843, 2023-04-13 15:48:26
7408, 20823, 2023-04-13 15:35:42
7407, 20828, 2023-04-13 14:19:41
7402, 20830, 2023-04-13 11:11:18
7400, 20833, 2023-04-13 11:04:09
7398, 20821, 2023-04-13 10:31:26
7396, 20825, 2023-04-13 10:27:32
7395, 20826, 2023-04-13 10:26:33
7392, 20774, 2023-04-12 20:19:04
7391, 20768, 2023-04-12 20:18:05
7390, 20805, 2023-04-12 19:57:28
7388, 20804, 2023-04-12 19:30:47
7386, 20803, 2023-04-12 19:17:52
7385, 20629, 2023-04-12 18:20:42
7384, 20800, 2023-04-12 18:08:17
7382, 20792, 2023-04-12 17:35:46
7381, 20743, 2023-04-12 17:34:45
7380, 20788, 2023-04-12 17:31:37
7379, 20798, 2023-04-12 17:27:20
7378, 20786, 2023-04-12 17:00:38
7375, 20785, 2023-04-12 16:04:22
7374, 20784, 2023-04-12 16:00:56
7372, 20769, 2023-04-12 15:45:47
7371, 20771, 2023-04-12 15:39:18
7370, 20779, 2023-04-12 15:05:17
7367, 20772, 2023-04-12 12:13:13
7361, 20767, 2023-04-12 10:11:49
7360, 20764, 2023-04-11 19:00:44
7359, 20763, 2023-04-11 18:59:42
7357, 20758, 2023-04-11 17:32:54
7356, 20740, 2023-04-11 17:22:34
7355, 20754, 2023-04-11 16:39:21
7353, 20751, 2023-04-11 15:35:31
7352, 20750, 2023-04-11 15:12:22
7351, 20749, 2023-04-11 14:49:06
7350, 20748, 2023-04-11 14:48:38
7348, 20744, 2023-04-11 14:12:48
7347, 20747, 2023-04-11 14:11:31
7346, 20746, 2023-04-11 12:43:43
7344, 20675, 2023-04-11 11:03:24
7342, 20718, 2023-04-11 10:50:54
7340, 20719, 2023-04-11 10:48:50
7339, 20741, 2023-04-11 10:18:49
7338, 20737, 2023-04-10 22:21:59
7337, 20739, 2023-04-10 22:21:46
7334, 20724, 2023-04-10 19:21:40
7331, 20688, 2023-04-10 16:27:09
7330, 20714, 2023-04-10 15:32:16
7328, 20707, 2023-04-10 10:38:07
7326, 20697, 2023-04-08 09:46:40
7324, 20696, 2023-04-07 19:59:25
7322, 20693, 2023-04-07 19:17:56
7319, 20690, 2023-04-07 18:09:02
7317, 20687, 2023-04-07 17:50:05
7315, 20682, 2023-04-07 17:36:14
7314, 20679, 2023-04-07 17:34:07
7312, 20684, 2023-04-07 17:17:14
7310, 20678, 2023-04-07 16:48:12
7309, 20677, 2023-04-07 16:47:01
7306, 20674, 2023-04-07 16:32:27
7304, 20644, 2023-04-07 11:35:20
7303, 20646, 2023-04-07 11:32:43
7302, 20656, 2023-04-07 11:11:18
7301, 20655, 2023-04-07 11:10:14
7300, 20654, 2023-04-07 11:09:18
7296, 20651, 2023-04-06 20:06:04
7295, 20647, 2023-04-06 20:05:03
