数据集名称,异常情况,指标名称
ba7e4d879f5b61c48192f115c8423009,出现异常,getDept success
e4aa88345de77d0282de38d940b97037,正常,<:staticStrategies:>
001af3fb6b4d143bcf025ea210b71ead,出现异常,getBackupEmp success
a907848786444e58de1b0b33066eeb4b,出现异常,"1- ((sum(increase(std_requests_total{job=""be/yid"",code=""200"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"", bizcode=""6000""}[1m]) or increase(std_requests_total{job=""be/yid"",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",code=~""5..""}[1m]))  or  vector(0)) /  sum(increase(std_requests_total{job=""be/yid"",instance=""yid-k8s-aiops-81-d7664fd98-xxn9b"",environment=""rc""}[1m])))"
f81b9c4ebe46b2be968e5df3c2763c40,出现异常,strconv.ParseIn<:updateFanweiEmployee failed:>
f8897351dc9e1161240d12b88ea42cda,正常,callback status error
ad921d60486366258809553a3db49a4a,出现异常,unknown
f6cff71f7e921d382b6f5d810540d935,出现异常,"sum(rate(std_requests_total{job=""be/yid"",code=~""4.."",environment=""rc"", instance=""yid-k8s-aiops-81-d7664fd98-xxn9b""}[1m]))"
aedcea2b95e6a07cb77a9a0da350ab7f,出现异常,loaded policy count:<:NUM:>
6e2baaf3b97dbeef01c0043275f9a0e7,出现异常,msg
4acf07478b589b05b894f55b9175ce0c,正常,"(sum(irate(container_cpu_usage_seconds_total{prometheus=""monitoring-cce-bj4-dev-01"",container!="""",container!=""POD"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"", metrics_path=""/metrics/cadvisor""} [1m])) by(namespace,pod) / on (namespace,pod) (sum(container_spec_cpu_quota{prometheus=""monitoring-cce-bj4-dev-01"",namespace=~""jiesuan"",pod=~""yid-k8s-aiops-81-d7664fd98-xxn9b"",container!="""",metrics_path=""/metrics/cadvisor""}) by(namespace,pod) / 100000) ) * 100"
f128e17cfd250649baef37f04d6c19b9,出现异常,get metadata from header
b1bd7c01c3ef58909e115c5936d39ad0,正常,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>
