csvname,anomaly_timestamp,Z_value_1,Z_value_2,Z_value_3,Z_value_4,Z_value_5,Z_value_6,Z_value_7,Z_value_8,Z_value_9,Z_value_10,Z_value_11,Z_value_12,Z_value_13,Z_value_14,Z_value_15,Z_value_16,Z_value_17,Z_value_18,Z_value_19,Z_value_20,Z_value_21,Z_value_22,Z_value_23,Z_value_24,Z_value_25,Z_value_26,Z_value_27,Z_value_28,Z_value_29,Z_value_30
aedcea2b95e6a07cb77a9a0da350ab7f,1701223560,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6ad2d13248c5eddd35b3dbb2c1dd6a53,1701225600,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6ad2d13248c5eddd35b3dbb2c1dd6a53,1701226440,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6ad2d13248c5eddd35b3dbb2c1dd6a53,1701226560,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
a47f48821fc1ffe7057a87438b541bec,1701224160,23.0,22.0,27.0,21.0,25.0,15.0,31.0,20.0,31.0,24.0,32.0,24.0,13.0,18.0,16.0,33.0,22.0,18.0,28.0,19.0,21.0,15.0,26.0,23.0,20.0,24.0,128.0,24.0,25.0,13.0
a47f48821fc1ffe7057a87438b541bec,1701224520,23.0,22.0,27.0,21.0,25.0,15.0,31.0,20.0,33.0,31.0,24.0,24.0,13.0,18.0,16.0,32.0,22.0,18.0,28.0,19.0,21.0,15.0,26.0,23.0,20.0,24.0,128.0,24.0,25.0,13.0
a47f48821fc1ffe7057a87438b541bec,1701226320,22.0,27.0,21.0,25.0,15.0,31.0,20.0,33.0,31.0,24.0,32.0,24.0,13.0,18.0,16.0,128.0,22.0,18.0,28.0,19.0,21.0,15.0,26.0,23.0,20.0,24.0,24.0,25.0,13.0,22.0
19930931b560277fcf06ecc09f41e752,1701226320,22.0,27.0,21.0,25.0,15.0,31.0,20.0,33.0,31.0,24.0,32.0,24.0,13.0,18.0,16.0,128.0,22.0,18.0,28.0,19.0,21.0,15.0,26.0,23.0,20.0,24.0,24.0,25.0,13.0,22.0
ad921d60486366258809553a3db49a4a,1701223320,5.0,0.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0
ad921d60486366258809553a3db49a4a,1701223440,5.0,2.0,1.0,10.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,9.0,11.0,3.0,4.0,3.0,0.0,3.0,10.0
