id,change_type,real_type,reason_score,solution_score
10033,failure,failure,0,0
10034,failure,failure,0,0
10035,failure,failure,0,0
10036,failure,failure,0,0
10037,failure,failure,0,0
10038,failure,failure,0,0
10039,failure,failure,0,0
10040,failure,failure,0,0
10041,failure,failure,0,0
10042,failure,failure,0,0
10043,failure,failure,0,0
10044,failure,failure,0,0
10045,failure,failure,0,0
10046,failure,failure,0,0
10047,failure,failure,0,0
10048,failure,failure,0,0
10049,failure,failure,0,0
10050,failure,failure,0,0
10051,failure,failure,0,0
10052,failure,failure,0,0
10053,failure,failure,0,0
10054,failure,failure,0,0
10055,failure,failure,0,0
10056,failure,failure,0,0
10057,failure,failure,0,0
10058,failure,failure,0,0
10060,failure,failure,0,0
10062,failure,failure,0,0
10063,failure,failure,0,0
10064,failure,failure,0,0
10065,failure,failure,0,0
10066,failure,failure,0,0
10067,failure,failure,0,0
10068,failure,failure,0,0
10076,failure,failure,0,0
10077,failure,failure,0,0
10079,failure,failure,0,0
10080,failure,failure,0,0
10081,failure,failure,0,0
10082,failure,failure,0,0
