id,change_type,real_type,reason_score,solution_score
10033,failure,failure,tensor(0.2116),tensor(0.1920)
10034,failure,failure,tensor(0.9052),tensor(0.8005)
10035,failure,failure,tensor(0.9128),tensor(0.8449)
10036,failure,failure,tensor(0.8771),tensor(0.8741)
10037,failure,failure,tensor(0.9146),tensor(0.8969)
10038,failure,failure,tensor(0.8528),tensor(0.8794)
10039,failure,failure,tensor(0.9086),tensor(0.8127)
10040,failure,failure,tensor(0.8943),tensor(0.8636)
10041,failure,failure,tensor(0.7445),tensor(0.8488)
10042,failure,failure,tensor(0.8125),tensor(0.8593)
10043,failure,failure,tensor(0.7752),tensor(0.9230)
10044,failure,failure,tensor(0.2332),tensor(0.2298)
10045,failure,failure,tensor(0.7857),tensor(0.8126)
10046,failure,failure,tensor(0.7958),tensor(0.8398)
10047,failure,failure,tensor(0.8059),tensor(0.8778)
10048,failure,failure,tensor(0.7758),tensor(0.9482)
10049,failure,failure,tensor(0.7813),tensor(0.8341)
10050,failure,failure,tensor(0.1975),tensor(0.1735)
10051,failure,failure,tensor(0.2490),tensor(0.0856)
10052,failure,failure,tensor(0.9395),tensor(0.8580)
10053,failure,failure,tensor(0.8681),tensor(0.7216)
10054,failure,failure,tensor(0.7541),tensor(0.8101)
10055,failure,failure,tensor(0.8421),tensor(0.8334)
10056,failure,failure,tensor(0.2067),tensor(0.2383)
10057,failure,failure,tensor(0.1776),tensor(0.2375)
10058,failure,failure,tensor(0.9023),tensor(0.8229)
10060,failure,failure,tensor(0.8743),tensor(0.8758)
10062,failure,failure,tensor(0.8391),tensor(0.8143)
10063,failure,failure,tensor(0.2024),tensor(0.1169)
10064,failure,failure,tensor(0.2018),tensor(0.2078)
10065,failure,failure,tensor(0.2679),tensor(0.1559)
10066,failure,failure,tensor(0.9227),tensor(0.7895)
10067,failure,failure,tensor(0.2106),tensor(0.2060)
10068,failure,failure,tensor(0.8830),tensor(0.8324)
10076,failure,failure,tensor(0.2081),tensor(0.1297)
10077,failure,failure,tensor(0.2110),tensor(0.1536)
10079,failure,failure,tensor(0.8951),tensor(0.8403)
10080,failure,failure,tensor(0.2324),tensor(0.2716)
10081,failure,failure,tensor(0.9167),tensor(0.8857)
10082,failure,failure,tensor(0.9290),tensor(0.7896)
