id,kpi1,kpi2,kpi3,kpi4,kpi5
51010,request_duration, request_count,,,
50012,request_duration, request_count,,,
40009,N/A,,,,
50009,request_duration, request_count,,,
41009,,,,,
40007,N/A,,,,
40011,N/A,,,,
50008,request_duration, request_count,,,
51012,request_duration, request_count,,,
40005,N/A,,,,
40008,,,,,
41013,N/A,,,,
50013,request_duration, request_count,,,
40012,Start string not found.,,,,
50003,request_duration, request_count,,,
40010,Start string not found.,,,,
51011,request_duration, request_count,,,
41011,,,,,
50011,request_duration, request_count,,,
51009,request_duration, request_count,,,
40003,N/A,,,,
41010,Start string not found.,,,,
40013,N/A,,,,
50006,request_duration, request_count,,,
50010,request_duration, request_count,,,
50004,request_duration, request_count,,,
40004,N/A,,,,
51013,request_duration, request_count,,,
50007,request_duration, request_count,,,
50005,request_duration, request_count,,,
40006,,,,,
41012,Start string not found.,,,,
