id,change_type,real_type,reason_score,solution_score
40006,normal,normal,tensor(0.3045),tensor(0.3918)
51013,failure,failure,tensor(0.5833),tensor(0.4233)
40012,normal,normal,tensor(0.2822),tensor(0.3919)
40010,normal,normal,tensor(0.3262),tensor(0.3951)
41012,normal,normal,tensor(0.3105),tensor(0.3919)
51011,failure,failure,tensor(0.5718),tensor(0.4990)
41011,normal,normal,tensor(0.3227),tensor(0.3919)
40013,normal,normal,tensor(0.3558),tensor(0.3918)
40007,normal,normal,tensor(0.3344),tensor(0.3918)
50008,failure,failure,tensor(0.5904),tensor(0.4233)
40005,normal,normal,tensor(0.3741),tensor(0.3918)
51012,failure,failure,tensor(0.5966),tensor(0.4560)
51010,normal,failure,tensor(0.3894),tensor(0.7932)
40009,normal,normal,tensor(0.3414),tensor(0.3918)
41013,normal,normal,tensor(0.3685),tensor(0.3918)
50007,failure,failure,tensor(0.5753),tensor(0.4976)
40003,normal,normal,tensor(0.3185),tensor(0.3919)
41010,normal,normal,tensor(0.3394),tensor(0.3553)
50005,failure,failure,tensor(0.5910),tensor(0.4957)
40011,normal,normal,tensor(0.3266),tensor(0.4699)
40008,normal,normal,tensor(0.3387),tensor(0.3918)
50003,failure,failure,tensor(0.5893),tensor(0.4233)
50006,normal,failure,tensor(0.5642),tensor(0.8357)
51009,normal,failure,tensor(0.5622),tensor(0.7932)
50011,failure,failure,tensor(0.6055),tensor(0.4623)
50009,normal,failure,tensor(0.4915),tensor(0.7932)
50010,normal,failure,tensor(0.4873),tensor(0.7974)
50004,failure,failure,tensor(0.5501),tensor(0.4233)
50013,failure,failure,tensor(0.5952),tensor(0.4241)
50012,normal,failure,tensor(0.5129),tensor(0.8259)
41009,normal,normal,tensor(0.2802),tensor(0.3951)
40004,normal,normal,tensor(0.3207),tensor(0.3918)
