id,change_type,real_type,reason_score,solution_score
51012,failure,failure,tensor(0.9657),tensor(0.9852)
50005,failure,failure,tensor(0.9303),tensor(0.7654)
41012,normal,normal,tensor(0.8407),tensor(0.5516)
40008,normal,normal,tensor(1.0000),tensor(0.9478)
50007,failure,failure,tensor(0.9594),tensor(0.8960)
50004,failure,failure,tensor(0.8412),tensor(0.7235)
40012,normal,normal,tensor(1.0000),tensor(0.9847)
50010,failure,failure,tensor(1.),tensor(0.9815)
51013,failure,failure,tensor(0.9225),tensor(0.9085)
50011,failure,failure,tensor(0.9343),tensor(0.8802)
51009,failure,failure,tensor(1.0000),tensor(0.9761)
50012,failure,failure,tensor(0.9525),tensor(0.9191)
50008,failure,failure,tensor(0.8076),tensor(0.8753)
40007,normal,normal,tensor(0.7642),tensor(0.9531)
40003,normal,normal,tensor(0.9510),tensor(0.7470)
41009,normal,normal,tensor(0.9664),tensor(0.9798)
50009,failure,failure,tensor(0.9302),tensor(0.9129)
51010,failure,failure,tensor(1.),tensor(0.9546)
41010,normal,normal,tensor(1.0000),tensor(0.9632)
40004,normal,normal,tensor(1.0000),tensor(0.9638)
40013,normal,normal,tensor(0.9632),tensor(0.7963)
50013,failure,failure,tensor(1.),tensor(0.9790)
40005,normal,normal,tensor(1.0000),tensor(0.9823)
40006,normal,normal,tensor(0.8396),tensor(0.9478)
51011,failure,failure,tensor(0.9554),tensor(0.6993)
40010,normal,normal,tensor(0.9405),tensor(0.6489)
50006,failure,failure,tensor(0.9871),tensor(0.9866)
50003,failure,failure,tensor(0.9102),tensor(0.7783)
41013,normal,normal,tensor(1.0000),tensor(0.9673)
40009,normal,normal,tensor(1.0000),tensor(0.9638)
41011,normal,normal,tensor(0.9716),tensor(0.9602)
40011,normal,normal,tensor(1.),tensor(0.9602)
