id,change_type,real_type,reason_score,solution_score
40009,failure,normal,tensor(0.7729),tensor(0.4290)
40012,failure,normal,tensor(0.8537),tensor(0.4671)
51009,failure,failure,tensor(0.8207),tensor(0.6842)
41009,failure,normal,tensor(0.7696),tensor(0.4254)
51011,failure,failure,tensor(0.9594),tensor(0.8562)
50012,failure,failure,tensor(0.8593),tensor(0.8050)
50003,failure,failure,tensor(0.9253),tensor(0.7723)
41011,failure,normal,tensor(0.7735),tensor(0.5147)
40005,failure,normal,tensor(0.7298),tensor(0.4745)
50011,failure,failure,tensor(0.8702),tensor(0.8085)
41010,failure,normal,tensor(0.7677),tensor(0.4255)
51013,failure,failure,tensor(0.9356),tensor(0.7788)
40003,failure,normal,tensor(0.7742),tensor(0.3741)
51012,failure,failure,tensor(0.9301),tensor(0.6513)
40008,failure,normal,tensor(0.8474),tensor(0.4820)
50004,failure,failure,tensor(0.8726),tensor(0.8602)
40013,failure,normal,tensor(0.7811),tensor(0.5019)
50008,failure,failure,tensor(0.9144),tensor(0.7082)
41012,failure,normal,tensor(0.8803),tensor(0.4772)
50010,failure,failure,tensor(0.8943),tensor(0.7696)
41013,failure,normal,tensor(0.7493),tensor(0.5260)
40011,failure,normal,tensor(0.7195),tensor(0.4559)
40007,failure,normal,tensor(0.7588),tensor(0.4058)
51010,failure,failure,tensor(0.9228),tensor(0.8143)
40004,failure,normal,tensor(0.6591),tensor(0.5058)
40010,failure,normal,tensor(0.7572),tensor(0.4376)
40006,failure,normal,tensor(0.8084),tensor(0.4441)
50013,failure,failure,tensor(0.9226),tensor(0.6572)
50005,failure,failure,tensor(0.8640),tensor(0.7221)
50006,failure,failure,tensor(0.8916),tensor(0.7790)
50007,failure,failure,tensor(0.9040),tensor(0.7076)
50009,failure,failure,tensor(0.9345),tensor(0.7107)
