id,change_type,real_type,reason_score,solution_score
51012,failure,failure,tensor(0.8668),tensor(0.6675)
50005,failure,failure,tensor(0.9215),tensor(0.8037)
41012,failure,normal,tensor(0.7109),tensor(0.5025)
40008,failure,normal,tensor(0.6666),tensor(0.6053)
50007,failure,failure,tensor(0.8117),tensor(0.8447)
50004,failure,failure,tensor(0.7325),tensor(0.5888)
40012,failure,normal,tensor(0.7617),tensor(0.7510)
50010,failure,failure,tensor(0.8673),tensor(0.7123)
51013,failure,failure,tensor(0.8233),tensor(0.6587)
50011,failure,failure,tensor(0.9593),tensor(0.8170)
51009,failure,failure,tensor(0.8022),tensor(0.7834)
50012,failure,failure,tensor(0.8460),tensor(0.7160)
50008,failure,failure,tensor(0.8230),tensor(0.8238)
40007,failure,normal,tensor(0.6602),tensor(0.5996)
40003,failure,normal,tensor(0.7380),tensor(0.5404)
41009,failure,normal,tensor(0.7444),tensor(0.7861)
50009,failure,failure,tensor(0.9291),tensor(0.6663)
51010,failure,failure,tensor(0.9215),tensor(0.8933)
41010,failure,normal,tensor(0.7939),tensor(0.4929)
40004,failure,normal,tensor(0.7371),tensor(0.4780)
40013,failure,normal,tensor(0.6844),tensor(0.4673)
50013,failure,failure,tensor(0.8996),tensor(0.7390)
40005,failure,normal,tensor(0.7423),tensor(0.5520)
40006,failure,normal,tensor(0.7117),tensor(0.6141)
51011,failure,failure,tensor(0.9496),tensor(0.8779)
40010,failure,normal,tensor(0.7442),tensor(0.6764)
50006,failure,failure,tensor(0.9649),tensor(0.8004)
50003,failure,failure,tensor(0.7912),tensor(0.7652)
41013,failure,normal,tensor(0.6903),tensor(0.5528)
40009,failure,normal,tensor(0.7354),tensor(0.5802)
41011,failure,normal,tensor(0.7498),tensor(0.4929)
40011,failure,normal,tensor(0.8151),tensor(0.5513)
