id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.8218),tensor(0.3986)
51011,failure,failure,tensor(0.8091),tensor(0.4428)
40011,failure,normal,tensor(0.7546),tensor(-0.0402)
41011,failure,normal,tensor(0.5845),tensor(0.0044)
50004,failure,failure,tensor(0.8918),tensor(0.4331)
50009,failure,failure,tensor(0.9659),tensor(0.8809)
40005,failure,normal,tensor(0.4523),tensor(0.1553)
41010,failure,normal,tensor(0.6652),tensor(0.0234)
40009,failure,normal,tensor(0.6821),tensor(-0.0358)
50012,failure,failure,tensor(0.9422),tensor(0.8521)
50003,failure,failure,tensor(0.9377),tensor(0.6300)
50006,failure,failure,tensor(0.9244),tensor(0.7308)
50013,failure,failure,tensor(0.9453),tensor(0.7505)
51012,failure,failure,tensor(0.8809),tensor(0.7519)
51013,failure,failure,tensor(0.7963),tensor(0.6160)
41013,failure,normal,tensor(0.6599),tensor(0.0865)
40010,failure,normal,tensor(0.5646),tensor(0.1321)
40012,failure,normal,tensor(0.6069),tensor(0.0457)
40013,failure,normal,tensor(0.4944),tensor(0.1321)
40003,failure,normal,tensor(0.6227),tensor(0.0977)
51009,failure,failure,tensor(0.8340),tensor(0.7657)
50008,failure,failure,tensor(0.7460),tensor(0.5378)
50011,failure,failure,tensor(0.8553),tensor(0.7106)
51010,failure,failure,tensor(0.9139),tensor(0.6497)
40004,failure,normal,tensor(0.5848),tensor(-0.0161)
40006,failure,normal,tensor(0.6402),tensor(0.0004)
50007,failure,failure,tensor(0.8887),tensor(0.4777)
40008,failure,normal,tensor(0.4881),tensor(0.0732)
40007,failure,normal,tensor(0.5742),tensor(0.0388)
41012,failure,normal,tensor(0.6166),tensor(-0.0103)
41009,failure,normal,tensor(0.5576),tensor(0.0991)
50010,failure,failure,tensor(0.9059),tensor(0.7956)
