id,change_type,real_type,reason_score,solution_score
40011,normal,normal,tensor(0.3524),tensor(0.5780)
51010,failure,failure,tensor(0.3571),tensor(0.4017)
50009,failure,failure,tensor(0.7723),tensor(0.6930)
41011,normal,normal,tensor(0.2335),tensor(0.3989)
40009,normal,normal,tensor(0.2235),tensor(0.4136)
41013,normal,normal,tensor(0.9543),tensor(0.6210)
40003,normal,normal,tensor(0.9156),tensor(0.9491)
40007,normal,normal,tensor(0.9130),tensor(0.6210)
40004,normal,normal,tensor(0.2698),tensor(0.4136)
50010,failure,failure,tensor(0.6448),tensor(0.5384)
51011,failure,failure,tensor(0.7321),tensor(0.6245)
51013,failure,failure,tensor(0.3734),tensor(0.2255)
50005,failure,failure,tensor(0.3228),tensor(0.3254)
40012,normal,normal,tensor(0.3517),tensor(0.5533)
50004,failure,failure,tensor(0.2844),tensor(0.2686)
40006,normal,normal,tensor(0.9355),tensor(0.7143)
41010,normal,normal,tensor(0.4010),tensor(0.5780)
41009,normal,normal,tensor(0.2181),tensor(0.2293)
50003,failure,failure,tensor(0.4183),tensor(0.4970)
51012,failure,failure,tensor(0.6891),tensor(0.7628)
50013,normal,failure,tensor(0.1369),tensor(0.3420)
40010,normal,normal,tensor(0.1561),tensor(0.4136)
50006,failure,failure,tensor(0.3665),tensor(0.3089)
50008,failure,failure,tensor(0.3032),tensor(0.1631)
50012,failure,failure,tensor(0.3020),tensor(0.2237)
51009,failure,failure,tensor(0.2608),tensor(0.3407)
50007,failure,failure,tensor(0.9252),tensor(0.9734)
50011,failure,failure,tensor(0.3432),tensor(0.3430)
40008,normal,normal,tensor(0.9494),tensor(0.6213)
41012,normal,normal,tensor(0.7927),tensor(0.6702)
40005,normal,normal,tensor(0.2077),tensor(0.2293)
40013,normal,normal,tensor(0.3865),tensor(0.5533)
