id,ft
51012,Wrong IP Address-Configuration Errors-Defective Software Changes
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
50007,Resource Contention-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50010,Network Traffic
51013,Wrong IP Address-Configuration Errors-Defective Software Changes
50011,Network Traffic
51009,Resource Contention-Defective Software Changes
50012,Resource Contention-Defective Software Changes
50008,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Network Traffic
51010,Network Traffic
50013,Resource Contention-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Network Traffic-Resource Contention-Defective Software Changes
50003,Resource Contention-Defective Software Changes
