id,ft
51009,Start string not found.
51011,Resource Contention-Defective Software Changes
50012,Start string not found.
50003,Network Traffic
50011,Wrong IP Address-Configuration Errors-Defective Software Changes
51013,Resource Contention-Defective Software Changes
51012,Resource Contention-Defective Software Changes
50004,Start string not found.
50008,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50013,Network Traffic
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Resource Contention-Defective Software Changes
50007,Resource Contention-Defective Software Changes
50009,Resource Contention-Defective Software Changes
