id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.2775),tensor(0.1522)
51011,failure,failure,tensor(0.4805),tensor(0.4926)
40011,normal,normal,tensor(0.6729),tensor(0.6702)
41011,normal,normal,tensor(0.2105),tensor(0.3989)
50004,failure,failure,tensor(0.1293),tensor(0.1153)
50009,failure,failure,tensor(0.2948),tensor(0.3844)
40005,normal,normal,tensor(0.8318),tensor(0.7561)
41010,normal,normal,tensor(0.2165),tensor(0.4136)
40009,normal,normal,tensor(0.8720),tensor(0.8424)
50012,failure,failure,tensor(0.8188),tensor(0.6466)
50003,failure,failure,tensor(0.1775),tensor(0.1042)
50006,failure,failure,tensor(0.6478),tensor(0.7218)
50013,failure,failure,tensor(0.5552),tensor(0.5137)
51012,failure,failure,tensor(0.7999),tensor(0.6251)
51013,failure,failure,tensor(0.9459),tensor(0.7814)
41013,normal,normal,tensor(0.3909),tensor(0.5780)
40010,normal,normal,tensor(0.3909),tensor(0.5533)
40012,normal,normal,tensor(0.9008),tensor(0.7780)
40013,normal,normal,tensor(0.3504),tensor(0.5533)
40003,normal,normal,tensor(0.6690),tensor(0.5754)
51009,failure,failure,tensor(0.9234),tensor(0.9396)
50008,failure,failure,tensor(0.4807),tensor(0.4017)
50011,failure,failure,tensor(0.8802),tensor(0.8801)
51010,failure,failure,tensor(0.2724),tensor(0.3152)
40004,normal,normal,tensor(0.2606),tensor(0.2293)
40006,normal,normal,tensor(0.2014),tensor(0.4136)
50007,failure,failure,tensor(0.8130),tensor(0.5210)
40008,normal,normal,tensor(0.8366),tensor(0.7188)
40007,normal,normal,tensor(0.3909),tensor(0.5533)
41012,normal,normal,tensor(0.7068),tensor(0.8424)
41009,normal,normal,tensor(0.6892),tensor(0.7188)
50010,failure,failure,tensor(0.8703),tensor(0.9625)
