id,kpi1,kpi2,kpi3,kpi4,kpi5
40011,,,,,
51010,request_success_rate, request_count,,,
50009,Resource Contention-Defective Software Changes,,,,
41011,,,,,
40009,,,,,
41013,Start string not found.,,,,
40003,,,,,
40007,,,,,
40004,,,,,
50010,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
51011,request_success_rate, request_count,,,
51013,request_success_rate, request_count,,,
50005,request_success_rate, request_count,,,
40012,Start string not found.,,,,
50004,request_success_rate, request_count,,,
40006,Start string not found.,,,,
41010,,,,,
41009,,,,,
50003,request_success_rate, request_count,,,
51012,request_success_rate, request_count,,,
50013,,,,,
40010,Start string not found.,,,,
50006,request_success_rate, request_count,,,
50008,request_success_rate,,,,
50012,request_success_rate, request_count,,,
51009,request_success_rate, request_count,,,
50007,request_success_rate,,,,
50011,request_success_rate, request_count,,,
40008,,,,,
41012,,,,,
40005,,,,,
40013,,,,,
