id,change_type,real_type,reason_score,solution_score
40003,normal,normal,tensor(0.7748),tensor(0.8424)
50007,failure,failure,tensor(0.1435),tensor(0.1590)
50012,failure,failure,tensor(0.8652),tensor(0.9210)
40004,normal,normal,tensor(0.2105),tensor(0.4136)
40009,normal,normal,tensor(0.6983),tensor(0.8424)
40010,normal,normal,tensor(0.2105),tensor(0.4136)
40006,normal,normal,tensor(0.7495),tensor(0.7188)
51010,failure,failure,tensor(0.8469),tensor(0.7933)
40012,normal,normal,tensor(0.2105),tensor(0.4136)
50013,failure,failure,tensor(0.2428),tensor(0.1967)
50009,failure,failure,tensor(0.9025),tensor(0.9348)
41009,normal,normal,tensor(0.4635),tensor(0.4541)
40013,normal,normal,tensor(0.2105),tensor(0.3989)
41013,normal,normal,tensor(0.3909),tensor(0.5533)
51011,failure,failure,tensor(0.5756),tensor(0.4964)
40008,normal,normal,tensor(0.3909),tensor(0.5533)
40007,normal,normal,tensor(0.6880),tensor(0.4541)
50010,failure,failure,tensor(0.9071),tensor(0.6514)
41011,normal,normal,tensor(0.3909),tensor(0.5533)
50003,failure,failure,tensor(0.5797),tensor(0.6214)
40011,normal,normal,tensor(0.5745),tensor(0.5754)
41010,normal,normal,tensor(0.6364),tensor(0.8424)
41012,normal,normal,tensor(0.4168),tensor(0.4363)
50004,failure,failure,tensor(0.7890),tensor(0.3450)
50008,failure,failure,tensor(0.8460),tensor(0.7834)
50011,failure,failure,tensor(0.7529),tensor(0.6519)
50005,failure,failure,tensor(0.7882),tensor(0.5528)
50006,failure,failure,tensor(0.7854),tensor(0.4344)
40005,normal,normal,tensor(0.3277),tensor(0.5780)
51013,failure,failure,tensor(0.7465),tensor(0.7858)
51012,failure,failure,tensor(0.8464),tensor(0.8991)
51009,failure,failure,tensor(0.9543),tensor(0.9431)
