id,ft
50007,Wrong IP Address-Configuration Errors-Defective Software Changes
50012,Resource Contention-Defective Software Changes
51010,Wrong IP Address-Configuration Errors-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
50009,Resource Contention-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Resource Contention-Defective Software Changes
50003,Resource Contention-Defective Software Changes
50004,Wrong IP Address-Configuration Errors-Defective Software Changes
50008,Resource Contention-Defective Software Changes
50011,Network Traffic
50005,Resource Contention-Defective Software Changes
50006,Resource Contention-Defective Software Changes
51013,Resource Contention-Defective Software Changes
51012,Resource Contention-Defective Software Changes
51009,Wrong IP Address-Configuration Errors-Defective Software Changes
