id,kpi1,kpi2,kpi3,kpi4,kpi5
40009,N/A,,,,
40012,None,,,,
51009,None,,,,
41009,N/A,,,,
51011,request_count, request_success_rate,,,
50012,Start string not found.,,,,
50003,Resource Contention-Defective Software Changes,,,,
41011,,,,,
40005,Start string not found.,,,,
50011,Resource Contention-Defective Software Changes,,,,
41010,,,,,
51013,request_count, request_success_rate,,,
40003,Start string not found.,,,,
51012,[ 'Resource Contention-Defective Software Changes'],,,,
40008,,,,,
50004,N/A,,,,
40013,null,,,,
50008,request_count, request_success_rate,,,
41012,N/A,,,,
50010,request_count, request_success_rate,,,
41013,,,,,
40011,Start string not found.,,,,
40007,,,,,
51010,request_count, request_success_rate,,,
40004,Start string not found.,,,,
40010,Start string not found.,,,,
40006,Start string not found.,,,,
50013,request_count, request_success_rate,,,
50005,Resource Contention-Defective Software Changes,,,,
50006,Resource Contention-Defective Software Changes,,,,
50007,Resource Contention-Defective Software Changes,,,,
50009,Resource Contention-Defective Software Changes,,,,
