id,kpi1,kpi2,kpi3,kpi4,kpi5
50005,istio_usage, cpu_usage, memory_usage, net_send_packet, net_recv_packet
51011,istio_count, memory_usage, net_recv_packet, cpu_usage, istio_count
40011,Start string not found.,,,,
41011,,,,,
50004,cpu_usage, memory_usage, istio_count, net_recv_packet, istio_count
50009,istio_usage, cpu_usage, memory_usage, net_recv_packet, istio_count
40005,,,,,
41010,,,,,
40009,Start string not found.,,,,
50012,cpu_usage, memory_usage, istio_count, istio_usage, net_recv_packet
50003,cpu_usage, memory_usage, net_send_packet, net_recv_packet, istio_count
50006,istio_usage, cpu_usage, memory_usage, net_send_packet, net_recv_packet
50013,istio_usage, cpu_usage, memory_usage, net_send_packet, net_recv_packet
51012,cpu_usage, memory_usage, net_send_packet, net_recv_packet, istio_count
51013,istio_usage, cpu_usage, memory_usage, net_send_packet, net_recv_packet
41013,None,,,,
40010,,,,,
40012,N/A,,,,
40013,,,,,
40003,,,,,
51009,cpu_usage, memory_usage, istio_count, istio_duration, net_recv_packet
50008,istio_usage, cpu_usage, memory_usage,,
50011,cpu_usage, memory_usage, istio_count, net_send_packet, net_recv_packet
51010,istio_usage, cpu_usage, memory_usage, net_send_packet, net_recv_packet
40004,N/A,,,,
40006,Start string not found.,,,,
50007,istio_usage, cpu_usage, memory_usage, net_recv_packet, istio_count
40008,Start string not found.,,,,
40007,,,,,
41012,,,,,
41009,Start string not found.,,,,
50010,istio_usage, cpu_usage, memory_usage, net_send_packet, net_recv_packet
