id,change_type,real_type,reason_score,solution_score
51012,failure,failure,tensor(0.6671),tensor(0.5298)
50005,failure,failure,tensor(0.9087),tensor(0.8940)
41012,normal,normal,tensor(0.2105),tensor(0.3989)
40008,normal,normal,tensor(0.6295),tensor(0.7188)
50007,failure,failure,tensor(0.5678),tensor(0.5144)
50004,failure,failure,tensor(0.8656),tensor(0.7685)
40012,normal,normal,tensor(0.5393),tensor(0.5754)
50010,failure,failure,tensor(0.9141),tensor(0.8110)
51013,failure,failure,tensor(0.9311),tensor(0.7708)
50011,failure,failure,tensor(0.8637),tensor(0.9487)
51009,failure,failure,tensor(0.7389),tensor(0.6110)
50012,failure,failure,tensor(0.6945),tensor(0.7411)
50008,failure,failure,tensor(0.2747),tensor(0.3580)
40007,normal,normal,tensor(0.8909),tensor(0.8096)
40003,normal,normal,tensor(0.6253),tensor(0.5754)
41009,normal,normal,tensor(0.3310),tensor(0.3989)
50009,failure,failure,tensor(0.5322),tensor(0.7259)
51010,failure,failure,tensor(0.9340),tensor(0.8561)
41010,normal,normal,tensor(0.6766),tensor(0.7188)
40004,normal,normal,tensor(0.7860),tensor(0.7188)
40013,normal,normal,tensor(0.5017),tensor(0.3067)
50013,failure,failure,tensor(0.5671),tensor(0.6793)
40005,normal,normal,tensor(0.7212),tensor(0.5754)
40006,normal,normal,tensor(0.4026),tensor(0.5780)
51011,failure,failure,tensor(0.9055),tensor(0.7130)
40010,normal,normal,tensor(0.4052),tensor(0.5695)
50006,failure,failure,tensor(0.7599),tensor(0.6793)
50003,failure,failure,tensor(0.6206),tensor(0.6386)
41013,normal,normal,tensor(0.7267),tensor(0.9540)
40009,normal,normal,tensor(0.7125),tensor(0.6875)
41011,normal,normal,tensor(0.5363),tensor(0.5754)
40011,normal,normal,tensor(0.8314),tensor(0.7746)
