id,change_type,real_type,reason_score,solution_score
50013,failure,failure,tensor(0.9216),tensor(0.8392)
50006,failure,failure,tensor(0.8801),tensor(0.8109)
41010,normal,normal,tensor(0.7397),tensor(0.7915)
40005,normal,normal,tensor(0.3909),tensor(0.5533)
40013,normal,normal,tensor(0.7669),tensor(0.7188)
40004,normal,normal,tensor(0.7323),tensor(0.8424)
40008,normal,normal,tensor(0.7969),tensor(0.9540)
50008,failure,failure,tensor(0.8814),tensor(0.8529)
51013,failure,failure,tensor(0.8592),tensor(0.6221)
41013,normal,normal,tensor(0.3909),tensor(0.5533)
50004,failure,failure,tensor(0.2811),tensor(0.2653)
50005,failure,failure,tensor(0.9054),tensor(0.8670)
40006,normal,normal,tensor(0.8160),tensor(0.8424)
41012,normal,normal,tensor(0.7649),tensor(0.9602)
50003,failure,failure,tensor(0.2113),tensor(0.2358)
40009,normal,normal,tensor(0.6357),tensor(0.7915)
50012,failure,failure,tensor(0.5021),tensor(0.5670)
50009,failure,failure,tensor(0.8986),tensor(0.8109)
51010,failure,failure,tensor(0.2379),tensor(0.1640)
51011,failure,failure,tensor(0.7715),tensor(0.5002)
50011,failure,failure,tensor(0.8719),tensor(0.7851)
50007,failure,failure,tensor(0.9239),tensor(0.8006)
51009,failure,failure,tensor(0.8955),tensor(0.6235)
40012,normal,normal,tensor(0.3909),tensor(0.5533)
40010,normal,normal,tensor(0.7933),tensor(0.5388)
40003,normal,normal,tensor(0.7279),tensor(0.8424)
40007,normal,normal,tensor(0.8445),tensor(0.7746)
50010,failure,failure,tensor(0.7615),tensor(0.6281)
51012,failure,failure,tensor(0.9120),tensor(0.6797)
41009,normal,normal,tensor(0.7847),tensor(0.7746)
41011,normal,normal,tensor(0.7197),tensor(0.8424)
40011,normal,normal,tensor(0.3909),tensor(0.5780)
