id,change_type,real_type,reason_score,solution_score
51010,failure,failure,tensor(0.5346),tensor(0.5344)
50012,failure,failure,tensor(0.9119),tensor(0.9163)
40009,normal,normal,tensor(1.),tensor(0.9490)
50009,failure,failure,tensor(0.8720),tensor(0.9229)
41009,normal,normal,tensor(1.),tensor(0.9491)
40007,normal,normal,tensor(0.9695),tensor(0.9602)
40011,normal,normal,tensor(0.9215),tensor(0.6210)
50008,failure,failure,tensor(0.1815),tensor(0.1319)
51012,failure,failure,tensor(1.0000),tensor(0.7905)
40005,normal,normal,tensor(0.9276),tensor(0.6210)
40008,normal,normal,tensor(0.8737),tensor(0.9490)
41013,normal,normal,tensor(0.9847),tensor(0.9602)
50013,failure,failure,tensor(0.9004),tensor(0.8136)
40012,normal,normal,tensor(1.),tensor(0.9540)
50003,failure,failure,tensor(0.2083),tensor(0.1328)
40010,normal,normal,tensor(0.9253),tensor(0.7143)
51011,failure,failure,tensor(1.0000),tensor(0.8522)
41011,normal,normal,tensor(0.9587),tensor(0.7143)
50011,failure,failure,tensor(0.8970),tensor(0.9504)
51009,failure,failure,tensor(1.0000),tensor(0.9435)
40003,normal,normal,tensor(1.0000),tensor(0.9602)
41010,normal,normal,tensor(1.),tensor(0.9602)
40013,normal,normal,tensor(1.0000),tensor(0.9490)
50006,failure,failure,tensor(0.9114),tensor(0.9424)
50010,failure,failure,tensor(0.8866),tensor(0.9514)
50004,failure,failure,tensor(0.8179),tensor(0.8100)
40004,normal,normal,tensor(0.3407),tensor(0.5533)
51013,failure,failure,tensor(0.8947),tensor(0.9408)
50007,failure,failure,tensor(0.9242),tensor(0.9372)
50005,failure,failure,tensor(0.8582),tensor(0.8633)
40006,normal,normal,tensor(0.9692),tensor(0.9540)
41012,normal,normal,tensor(0.3570),tensor(0.5780)
