id,kpi1,kpi2,kpi3,kpi4,kpi5
50005,istio_count, istio_duration, memory_usage, cpu_usage, istio_success_rate
40012,Start string not found.,,,,
50009,net_send_packet, diskio, memory_usage, istio_count, cpu_usage
40011,,,,,
40003,N/A,,,,
51012,net_io, cpu_usage, memory_usage, diskio, istio_duration
40008,,,,,
50004,net_in, net_out, cpu_usage, memory_usage, diskio
40007,Start string not found.,,,,
50006,memory_usage, cpu_usage, istio_duration, istio_count, istio_success_rate
41013,,,,,
50013,istio_count, istio_duration, memory_usage, istio_success_rate, cpu_usage
50008,memory_usage, istio_count, istio_duration, cpu_usage,
40009,,,,,
51013,memory_usage, istio_count, istio_duration, cpu_usage,  istio_success_rate
40013,Start string not found.,,,,
51009,net_io, diskio, istio_count, memory_usage, cpu_usage
51010,net_tx, memory_usage, istio_duration, istio_count, diskio
40004,Start string not found.,,,,
50012,net_io, diskio, memory_usage, istio_count, cpu_usage
40005,N/A,,,,
50011,istio_duration, istio_count, cpu_usage, memory_usage,  \nistio_success_rate
50007,net_usage,cpu_usage,memory_usage,istio_count,istio_duration
40010,None,,,,
40006,N/A,,,,
41012,,,,,
41009,None,,,,
51011,memory_usage, istio_count, istio_duration, istio_success_rate, cpu_usage
41010,,,,,
50010,istio_count, istio_duration, memory_usage, cpu_usage, istio_success_rate
41011,,,,,
50003,net_io, diskio, istio_duration, cpu_usage, memory_usage
