id,change_type,real_type,reason_score,solution_score
50012,failure,failure,tensor(0.8455),tensor(0.9361)
51012,failure,failure,tensor(0.9065),tensor(0.9906)
40007,normal,normal,tensor(0.2146),tensor(0.2293)
50006,failure,failure,tensor(0.6232),tensor(0.5850)
41011,normal,normal,tensor(1.),tensor(0.9602)
51009,failure,failure,tensor(0.5666),tensor(0.6030)
50013,failure,failure,tensor(0.8430),tensor(0.6431)
41012,normal,normal,tensor(1.0000),tensor(0.9540)
40006,normal,normal,tensor(1.0000),tensor(0.9490)
40003,normal,normal,tensor(0.9886),tensor(0.9602)
40011,normal,normal,tensor(0.9242),tensor(0.6210)
40009,normal,normal,tensor(0.9782),tensor(0.9603)
50007,failure,failure,tensor(1.0000),tensor(0.9866)
50003,failure,failure,tensor(0.9172),tensor(0.7384)
40005,normal,normal,tensor(1.0000),tensor(0.9602)
50011,failure,failure,tensor(0.8989),tensor(0.9104)
50009,failure,failure,tensor(0.9053),tensor(0.9123)
40008,normal,normal,tensor(1.),tensor(0.9478)
40013,normal,normal,tensor(0.8855),tensor(0.9540)
50005,failure,failure,tensor(0.9989),tensor(0.8671)
51011,failure,failure,tensor(0.9221),tensor(0.9163)
40012,normal,normal,tensor(1.0000),tensor(0.9490)
41010,normal,normal,tensor(1.0000),tensor(0.9824)
40010,normal,normal,tensor(0.9165),tensor(0.6702)
50010,failure,failure,tensor(0.8304),tensor(0.9087)
50004,failure,failure,tensor(0.9028),tensor(0.9087)
50008,failure,failure,tensor(0.9354),tensor(0.9163)
51010,failure,failure,tensor(0.7915),tensor(0.7777)
41013,normal,normal,tensor(1.0000),tensor(0.9602)
41009,normal,normal,tensor(0.8552),tensor(0.7143)
51013,failure,failure,tensor(0.9233),tensor(0.9259)
40004,normal,normal,tensor(1.0000),tensor(0.9540)
