id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.8208),tensor(0.8335)
40012,normal,normal,tensor(0.7192),tensor(0.7188)
50009,failure,failure,tensor(0.9773),tensor(0.9001)
40011,normal,normal,tensor(0.6709),tensor(0.9540)
40003,normal,normal,tensor(0.8298),tensor(0.6935)
51012,failure,failure,tensor(0.7148),tensor(0.4307)
40008,normal,normal,tensor(0.9103),tensor(0.9602)
50004,failure,failure,tensor(0.8315),tensor(0.7154)
40007,normal,normal,tensor(0.8094),tensor(0.8424)
50006,failure,failure,tensor(0.8290),tensor(0.7439)
41013,normal,normal,tensor(0.7101),tensor(0.7188)
50013,failure,failure,tensor(0.8314),tensor(0.7384)
50008,failure,failure,tensor(0.8184),tensor(0.8913)
40009,normal,normal,tensor(0.7801),tensor(0.7188)
51013,failure,failure,tensor(0.9061),tensor(0.7554)
40013,normal,normal,tensor(0.8514),tensor(0.8096)
51009,failure,failure,tensor(0.8164),tensor(0.8424)
51010,failure,failure,tensor(0.9339),tensor(0.7660)
40004,normal,normal,tensor(0.6940),tensor(0.9540)
50012,failure,failure,tensor(0.7867),tensor(0.7431)
40005,normal,normal,tensor(0.7340),tensor(0.7188)
50011,failure,failure,tensor(0.8990),tensor(0.6401)
50007,failure,failure,tensor(0.8687),tensor(0.8002)
40010,normal,normal,tensor(0.8953),tensor(0.8630)
40006,normal,normal,tensor(0.7924),tensor(0.7188)
41012,normal,normal,tensor(0.6051),tensor(0.8424)
41009,normal,normal,tensor(0.9540),tensor(0.9490)
51011,failure,failure,tensor(0.7957),tensor(0.8549)
41010,normal,normal,tensor(0.4050),tensor(0.5533)
50010,failure,failure,tensor(0.8398),tensor(0.7411)
41011,normal,normal,tensor(0.9640),tensor(0.7340)
50003,failure,failure,tensor(0.8715),tensor(0.6632)
