id,change_type,real_type,reason_score,solution_score
40009,normal,normal,tensor(0.6920),tensor(0.7188)
40012,normal,normal,tensor(0.6688),tensor(0.8424)
51009,failure,failure,tensor(0.9502),tensor(0.8747)
41009,normal,normal,tensor(0.6388),tensor(0.7188)
51011,failure,failure,tensor(0.8431),tensor(0.8983)
50012,failure,failure,tensor(0.8836),tensor(0.8656)
50003,failure,failure,tensor(0.9063),tensor(0.8876)
41011,normal,normal,tensor(0.7323),tensor(0.7188)
40005,normal,normal,tensor(0.6854),tensor(0.8424)
50011,failure,failure,tensor(0.8862),tensor(0.8394)
41010,normal,normal,tensor(0.4787),tensor(0.5754)
51013,failure,failure,tensor(0.9015),tensor(0.9430)
40003,normal,normal,tensor(0.7943),tensor(0.8424)
51012,failure,failure,tensor(0.8877),tensor(0.7745)
40008,normal,normal,tensor(0.6730),tensor(0.8424)
50004,failure,failure,tensor(0.3123),tensor(0.2141)
40013,normal,normal,tensor(0.6783),tensor(0.7188)
50008,failure,failure,tensor(0.8650),tensor(0.6939)
41012,normal,normal,tensor(0.4660),tensor(0.5754)
50010,failure,failure,tensor(0.7484),tensor(0.6567)
41013,normal,normal,tensor(0.6886),tensor(0.8424)
40011,normal,normal,tensor(0.3909),tensor(0.5533)
40007,normal,normal,tensor(0.6854),tensor(0.8424)
51010,failure,failure,tensor(0.7680),tensor(0.7402)
40004,normal,normal,tensor(0.8031),tensor(0.8424)
40010,normal,normal,tensor(0.6779),tensor(0.8424)
40006,normal,normal,tensor(0.6899),tensor(0.7188)
50013,failure,failure,tensor(0.8440),tensor(0.8839)
50005,failure,failure,tensor(0.9383),tensor(0.7846)
50006,failure,failure,tensor(0.8562),tensor(0.7367)
50007,failure,failure,tensor(0.9677),tensor(0.7879)
50009,failure,failure,tensor(0.5045),tensor(0.6503)
