id,change_type,real_type,reason_score,solution_score
50013,failure,failure,tensor(0.6965),tensor(0.6813)
50006,failure,failure,tensor(0.7122),tensor(0.7734)
41010,failure,normal,tensor(0.6030),tensor(0.6889)
40005,failure,normal,tensor(0.6204),tensor(0.5392)
40013,failure,normal,tensor(0.5902),tensor(0.4399)
40004,normal,normal,tensor(0.6961),tensor(0.6935)
40008,failure,normal,tensor(0.6176),tensor(0.4373)
50008,failure,failure,tensor(0.6577),tensor(0.7832)
51013,failure,failure,tensor(0.7513),tensor(0.6399)
41013,failure,normal,tensor(0.5892),tensor(0.6223)
50004,failure,failure,tensor(0.7215),tensor(0.8264)
50005,failure,failure,tensor(0.7558),tensor(0.7436)
40006,normal,normal,tensor(0.7194),tensor(0.6152)
41012,normal,normal,tensor(0.7931),tensor(0.9602)
50003,failure,failure,tensor(0.7207),tensor(0.8445)
40009,normal,normal,tensor(0.6562),tensor(0.9602)
50012,failure,failure,tensor(0.7544),tensor(0.8169)
50009,failure,failure,tensor(0.8046),tensor(0.7191)
51010,failure,failure,tensor(0.7236),tensor(0.8441)
51011,failure,failure,tensor(0.5924),tensor(0.6726)
50011,failure,failure,tensor(0.6958),tensor(0.6433)
50007,failure,failure,tensor(0.6432),tensor(0.8329)
51009,failure,failure,tensor(0.7684),tensor(0.7402)
40012,failure,normal,tensor(0.6294),tensor(0.5437)
40010,normal,normal,tensor(0.7438),tensor(0.8708)
40003,failure,normal,tensor(0.5645),tensor(0.5823)
40007,failure,normal,tensor(0.6076),tensor(0.6301)
50010,failure,failure,tensor(0.7975),tensor(0.9144)
51012,failure,failure,tensor(0.6776),tensor(0.6718)
41009,failure,normal,tensor(0.7606),tensor(0.4969)
41011,failure,normal,tensor(0.6213),tensor(0.5091)
40011,failure,normal,tensor(0.6004),tensor(0.4731)
