id,change_type,real_type,reason_score,solution_score
50012,failure,failure,tensor(0.6447),tensor(0.5330)
51012,failure,failure,tensor(0.9377),tensor(0.6371)
40007,normal,normal,tensor(0.8027),tensor(0.9246)
50006,failure,failure,tensor(0.8064),tensor(0.7764)
41011,normal,normal,tensor(0.9291),tensor(0.8364)
51009,failure,failure,tensor(0.8640),tensor(0.8579)
50013,failure,failure,tensor(0.8634),tensor(0.9440)
41012,normal,normal,tensor(0.8603),tensor(0.7470)
40006,normal,normal,tensor(0.8419),tensor(0.7746)
40003,normal,normal,tensor(0.8665),tensor(0.7915)
40011,normal,normal,tensor(0.7248),tensor(0.9602)
40009,normal,normal,tensor(0.7107),tensor(0.9602)
50007,failure,failure,tensor(0.7134),tensor(0.7854)
50003,failure,failure,tensor(0.9300),tensor(0.8278)
40005,normal,normal,tensor(0.7914),tensor(0.9602)
50011,failure,failure,tensor(0.7563),tensor(0.7975)
50009,failure,failure,tensor(0.7390),tensor(0.7572)
40008,normal,normal,tensor(0.8120),tensor(0.9602)
40013,normal,normal,tensor(0.7611),tensor(0.7470)
50005,failure,failure,tensor(0.8888),tensor(0.7486)
51011,failure,failure,tensor(0.8541),tensor(0.4524)
40012,normal,normal,tensor(0.9064),tensor(0.6935)
41010,normal,normal,tensor(0.7459),tensor(0.6005)
40010,normal,normal,tensor(0.8139),tensor(0.6935)
50010,failure,failure,tensor(0.7949),tensor(0.6643)
50004,normal,failure,tensor(0.7634),tensor(0.6869)
50008,failure,failure,tensor(0.7270),tensor(0.6164)
51010,failure,failure,tensor(0.8960),tensor(0.7572)
41013,normal,normal,tensor(0.8295),tensor(0.7188)
41009,normal,normal,tensor(0.8763),tensor(0.9602)
51013,failure,failure,tensor(0.6936),tensor(0.5753)
40004,normal,normal,tensor(0.7715),tensor(0.9540)
