id,kpi1,kpi2,kpi3,kpi4,kpi5
40009,Latency, Error Rate, Throughput, Uptime, System Calls
40012,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
51009,Resource Contention-Defective Software Changes,,,,
41009,system latency, error rates, uptime, throughput,
51011,system latency, error rates, uptime, throughput,
50012,system latency, error rates, uptime, throughput,
50003,Resource Contention-Defective Software Changes,,,,
41011,SCWARN algorithm identifies anomalies at the following timestamps: \n1, 2024-10-07 13:04:00\n2, 2024-10-07 19:50:00,,
40005,Not available in provided data - please provide specific KPI names.,,,,
50011,memory_usage, cpu_usage, istio_duration, istio_count, diskio
41010,Latency, Error Rate, Throughput, Uptime, Response Time
51013,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
40003,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
51012,Resource Contention-Defective Software Changes,,,,
40008,System latency, Error rate, Uptime, Throughput, Newly generated log pattern
50004,Start string not found.,,,,
40013,SCWARN algorithm identifies anomalies at timestamps 1, 2024-10-07 13:04:00\n2, 2024-10-07 19:50:00,,
50008,memory_usage, cpu_usage, diskio, istio_duration,
41012,SCWARN algorithm identifies anomalies at timestamps 1 and 2,,,,
50010,memory_usage, cpu_usage, diskio, istio_duration, istio_count
41013,SCWARN algorithm identifies anomalies at timestamps 1, 2024-10-07 13:04:00 and 2, 2024-10-07 19:50:00,,
40011,latency increased by 20%, error rate increased by 15%, throughput decreased by 10%,  request count decreased by 5%, database query time increased by 8%
40007,Latency, Error Rate, Throughput, Uptime, System Response Time
51010,Resource Contention-Defective Software Changes,,,,
40004,SCWARN algorithm identifies anomalies at timestamps: 1, 2024-10-07 04:20:00 \n2, 2024-10-07 13:08:00,,
40010,None,,,,
40006,1. Latency (2024-10-07 03:38:00), 2. Error Rate (2024-10-07 12:04:00), 3. Throughput, 4. Uptime, 5. System Calls
50013,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
50005,Resource Contention-Defective Software Changes,,,,
50006,memory_usage, cpu_usage, istio_duration, diskio, istio_count
50007,Resource Contention-Defective Software Changes,,,,
50009,Network Traffic,,,,
