id,kpi1,kpi2,kpi3,kpi4,kpi5
40009,N/A,,,,
40012,,,,,
51009,Deleting White List by Mistake-Configuration Errors-Defective Software Changes,,,,
41009,Start string not found.,,,,
51011,Resource Contention-Defective Software Changes,,,,
50012,N/A,,,,
50003,Network Traffic,,,,
41011,,,,,
40005,,,,,
50011,Resource Contention-Defective Software Changes,,,,
41010,Start string not found.,,,,
51013,Resource Contention,,,,
40003,,,,,
51012,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
40008,,,,,
50004,Not Available (Specific KPI information is missing),,,,
40013,Start string not found.,,,,
50008,Resource Contention-Defective Software Changes,,,,
41012,,,,,
50010,Resource Contention-Defective Software Changes,,,,
41013,N/A,,,,
40011,,,,,
40007,,,,,
51010,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
40004,Start string not found.,,,,
40010,,,,,
40006,,,,,
50013,Resource Contention-Defective Software Changes,,,,
50005,Resource Contention-Defective Software Changes,,,,
50006,Resource Contention-Defective Software Changes,,,,
50007,Resource Contention-Defective Software Changes,,,,
50009,Network Traffic,,,,
