id,change_type,real_type,reason_score,solution_score
50012,failure,failure,tensor(0.7697),tensor(0.6322)
51012,failure,failure,tensor(0.8184),tensor(0.7841)
40007,failure,normal,tensor(0.7676),tensor(0.5261)
50006,failure,failure,tensor(0.9108),tensor(0.7981)
41011,failure,normal,tensor(0.8175),tensor(0.5391)
51009,failure,failure,tensor(0.8067),tensor(0.6049)
50013,failure,failure,tensor(0.8424),tensor(0.6744)
41012,failure,normal,tensor(0.7873),tensor(0.5443)
40006,normal,normal,tensor(0.7908),tensor(0.7865)
40003,failure,normal,tensor(0.8880),tensor(0.4446)
40011,normal,normal,tensor(0.8861),tensor(0.7915)
40009,failure,normal,tensor(0.7435),tensor(0.4287)
50007,failure,failure,tensor(0.8723),tensor(0.7779)
50003,failure,failure,tensor(0.8328),tensor(0.8311)
40005,failure,normal,tensor(0.6598),tensor(0.4056)
50011,normal,failure,tensor(0.6516),tensor(0.7036)
50009,normal,failure,tensor(0.8591),tensor(0.7036)
40008,normal,normal,tensor(0.8756),tensor(0.9246)
40013,failure,normal,tensor(0.5430),tensor(0.5669)
50005,failure,failure,tensor(0.9679),tensor(0.9000)
51011,failure,failure,tensor(0.8488),tensor(0.4641)
40012,failure,normal,tensor(0.6056),tensor(0.6238)
41010,failure,normal,tensor(0.7220),tensor(0.6276)
40010,normal,normal,tensor(0.7628),tensor(0.8364)
50010,failure,failure,tensor(0.8885),tensor(0.6782)
50004,failure,failure,tensor(0.8782),tensor(0.5456)
50008,failure,failure,tensor(0.8652),tensor(0.3900)
51010,failure,failure,tensor(0.8486),tensor(0.4743)
41013,failure,normal,tensor(0.8354),tensor(0.5773)
41009,failure,normal,tensor(0.6208),tensor(0.5505)
51013,failure,failure,tensor(0.8448),tensor(0.6807)
40004,failure,normal,tensor(0.8078),tensor(0.4656)
