id,change_type,real_type,reason_score,solution_score
40011,normal,normal,tensor(0.8039),tensor(0.8877)
51010,failure,failure,tensor(0.7700),tensor(0.6420)
50009,failure,failure,tensor(0.8962),tensor(0.8596)
41011,failure,normal,tensor(0.6678),tensor(0.5313)
40009,failure,normal,tensor(0.5704),tensor(0.7394)
41013,failure,normal,tensor(0.8149),tensor(0.5655)
40003,normal,normal,tensor(0.7379),tensor(0.8364)
40007,normal,normal,tensor(0.6938),tensor(0.7915)
40004,normal,normal,tensor(0.9425),tensor(0.7470)
50010,normal,failure,tensor(0.5782),tensor(0.6092)
51011,failure,failure,tensor(0.8333),tensor(0.7153)
51013,failure,failure,tensor(0.8747),tensor(0.4988)
50005,failure,failure,tensor(0.8496),tensor(0.8284)
40012,normal,normal,tensor(0.9485),tensor(0.7470)
50004,failure,failure,tensor(0.7986),tensor(0.6898)
40006,normal,normal,tensor(0.8550),tensor(0.7470)
41010,normal,normal,tensor(0.8398),tensor(0.7470)
41009,normal,normal,tensor(0.7756),tensor(0.7004)
50003,failure,failure,tensor(0.7822),tensor(0.7004)
51012,failure,failure,tensor(0.8497),tensor(0.5003)
50013,normal,failure,tensor(0.5602),tensor(0.5000)
40010,normal,normal,tensor(0.7876),tensor(0.7470)
50006,failure,failure,tensor(0.8237),tensor(0.8376)
50008,failure,failure,tensor(0.7715),tensor(0.6885)
50012,failure,failure,tensor(0.8846),tensor(0.3881)
51009,failure,failure,tensor(0.8767),tensor(0.6313)
50007,failure,failure,tensor(0.8339),tensor(0.5849)
50011,failure,failure,tensor(0.7945),tensor(0.5727)
40008,normal,normal,tensor(0.8927),tensor(0.9602)
41012,normal,normal,tensor(0.8402),tensor(0.7371)
40005,failure,normal,tensor(0.5729),tensor(0.6205)
40013,normal,normal,tensor(0.8514),tensor(0.7865)
