id,change_type,real_type,reason_score,solution_score
51010,failure,failure,tensor(0.9628),tensor(0.5429)
50012,failure,failure,tensor(0.8816),tensor(0.6979)
40009,normal,normal,tensor(0.7627),tensor(0.8364)
50009,failure,failure,tensor(0.8241),tensor(0.6365)
41009,normal,normal,tensor(0.8261),tensor(0.9602)
40007,normal,normal,tensor(0.8902),tensor(0.8556)
40011,normal,normal,tensor(0.9003),tensor(0.8424)
50008,failure,failure,tensor(0.8985),tensor(0.7207)
51012,failure,failure,tensor(0.9232),tensor(0.4992)
40005,normal,normal,tensor(0.7895),tensor(0.7470)
40008,normal,normal,tensor(0.7823),tensor(0.6935)
41013,normal,normal,tensor(1.0000),tensor(0.8364)
50013,failure,failure,tensor(0.9196),tensor(0.5151)
40012,normal,normal,tensor(0.8349),tensor(0.8364)
50003,failure,failure,tensor(0.8781),tensor(0.5179)
40010,normal,normal,tensor(0.8446),tensor(0.8364)
51011,failure,failure,tensor(0.8797),tensor(0.6441)
41011,normal,normal,tensor(0.9015),tensor(0.8364)
50011,failure,failure,tensor(0.8492),tensor(0.8902)
51009,failure,failure,tensor(0.8405),tensor(0.9085)
40003,normal,normal,tensor(0.6879),tensor(0.7915)
41010,normal,normal,tensor(0.7375),tensor(0.9602)
40013,normal,normal,tensor(0.8818),tensor(0.7915)
50006,failure,failure,tensor(0.9165),tensor(0.5622)
50010,failure,failure,tensor(0.9361),tensor(0.7500)
50004,failure,failure,tensor(0.9570),tensor(0.5971)
40004,normal,normal,tensor(0.8221),tensor(0.8364)
51013,failure,failure,tensor(0.8863),tensor(0.8434)
50007,failure,failure,tensor(0.9541),tensor(0.7843)
50005,failure,failure,tensor(0.8947),tensor(0.5234)
40006,normal,normal,tensor(0.9027),tensor(0.7915)
41012,normal,normal,tensor(0.8352),tensor(0.9602)
