id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.9520),tensor(0.9076)
51011,failure,failure,tensor(0.9463),tensor(0.9199)
40011,normal,normal,tensor(0.7968),tensor(0.8424)
41011,normal,normal,tensor(1.0000),tensor(0.8364)
50004,failure,failure,tensor(0.9165),tensor(0.8389)
50009,failure,failure,tensor(0.8940),tensor(0.7333)
40005,normal,normal,tensor(0.9252),tensor(0.7915)
41010,normal,normal,tensor(0.8477),tensor(0.9490)
40009,normal,normal,tensor(0.9185),tensor(0.9602)
50012,failure,failure,tensor(0.9074),tensor(0.8055)
50003,failure,failure,tensor(0.8431),tensor(0.9007)
50006,failure,failure,tensor(0.7707),tensor(0.4923)
50013,failure,failure,tensor(0.9513),tensor(0.8623)
51012,failure,failure,tensor(0.7316),tensor(0.7264)
51013,failure,failure,tensor(0.8919),tensor(0.8570)
41013,normal,normal,tensor(0.7982),tensor(0.8364)
40010,normal,normal,tensor(1.0000),tensor(0.9602)
40012,normal,normal,tensor(0.8851),tensor(0.7915)
40013,normal,normal,tensor(0.8298),tensor(0.9602)
40003,normal,normal,tensor(0.9430),tensor(0.7188)
51009,failure,failure,tensor(0.9415),tensor(0.9361)
50008,failure,failure,tensor(0.9447),tensor(0.9347)
50011,failure,failure,tensor(0.7931),tensor(0.7686)
51010,failure,failure,tensor(0.9145),tensor(0.9047)
40004,normal,normal,tensor(0.7628),tensor(0.8364)
40006,normal,normal,tensor(0.8874),tensor(0.9540)
50007,failure,failure,tensor(0.8748),tensor(0.7488)
40008,normal,normal,tensor(0.9229),tensor(0.9602)
40007,normal,normal,tensor(1.0000),tensor(0.7470)
41012,normal,normal,tensor(0.8408),tensor(0.7915)
41009,normal,normal,tensor(0.9813),tensor(0.9490)
50010,failure,failure,tensor(0.9466),tensor(0.8734)
