id,kpi1,kpi2,kpi3,kpi4,kpi5
40003,,,,,
50007,istio_duration, cpu_usage, memory_usage, net_send_packet, net_recv_packet
50012,Resource Contention-Defective Software Changes,,,,
40004,Latency, Error Rate, Throughput, Uptime, New Log Pattern
40009,system latency, error rates, throughput, uptime,
40010,SCWARN algorithm identifies anomalies at timestamp 1, 2024-10-07 13:04:00,,,
40006,This data set is insufficient to provide specific KPIs.,,,,
51010,Network Traffic, latency, error rates, uptime, throughput
40012,Start string not found.,,,,
50013,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
50009,system latency, error rates, uptime, throughput,
41009,,,,,
40013,N/A,,,,
41013,N/A,,,,
51011,Resource Contention-Defective Software Changes,,,,
40008,system latency, error rates, uptime, throughput,
40007,SCWARN algorithm identifies anomalies at the following timestamps: 1, 2024-10-07 12:04:00,,,
50010,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
41011,N/A,,,,
50003,Resource Contention-Defective Software Changes,,,,
40011,N/A,,,,
41010,SCWARN algorithm identifies anomalies at the following timestamps: 1, 2024-10-07 13:04:00,,,
41012,N/A,,,,
50004,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
50008,Resource Contention-Defective Software Changes,,,,
50011,Resource Contention-Defective Software Changes,,,,
50005,istio_success_rate, istio_duration, memory_usage, net_send_packet, cpu_usage
50006,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
40005,N/A,,,,
51013,Network Traffic,,,,
51012,system latency, error rates, throughput,,
51009,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
