id,change_type,real_type,reason_score,solution_score
51012,failure,failure,tensor(0.7312),tensor(0.6630)
50005,failure,failure,tensor(0.8347),tensor(0.7460)
41012,failure,normal,tensor(0.6217),tensor(0.4932)
40008,normal,normal,tensor(0.6997),tensor(0.5755)
50007,failure,failure,tensor(0.7833),tensor(0.8881)
50004,failure,failure,tensor(0.8461),tensor(0.7950)
40012,normal,normal,tensor(0.7295),tensor(0.9490)
50010,failure,failure,tensor(0.7785),tensor(0.8891)
51013,failure,failure,tensor(0.7748),tensor(0.8410)
50011,failure,failure,tensor(0.7151),tensor(0.7754)
51009,failure,failure,tensor(0.8659),tensor(0.8424)
50012,failure,failure,tensor(0.8696),tensor(0.8893)
50008,failure,failure,tensor(0.7930),tensor(0.8958)
40007,normal,normal,tensor(0.7754),tensor(0.8364)
40003,failure,normal,tensor(0.6745),tensor(0.5635)
41009,normal,normal,tensor(0.7776),tensor(0.5304)
50009,failure,failure,tensor(0.6631),tensor(0.6818)
51010,failure,failure,tensor(0.6828),tensor(0.7950)
41010,failure,normal,tensor(0.6463),tensor(0.5115)
40004,normal,normal,tensor(0.8017),tensor(0.6100)
40013,failure,normal,tensor(0.5899),tensor(0.5453)
50013,failure,failure,tensor(0.8115),tensor(0.6662)
40005,normal,normal,tensor(0.6564),tensor(0.7004)
40006,normal,normal,tensor(0.5847),tensor(0.9602)
51011,failure,failure,tensor(0.8220),tensor(0.8274)
40010,normal,normal,tensor(0.6768),tensor(0.9602)
50006,failure,failure,tensor(0.7245),tensor(0.8039)
50003,failure,failure,tensor(0.7039),tensor(0.8406)
41013,normal,normal,tensor(0.6655),tensor(0.9540)
40009,normal,normal,tensor(0.6160),tensor(0.7470)
41011,normal,normal,tensor(0.8793),tensor(0.6225)
40011,failure,normal,tensor(0.6617),tensor(0.4609)
