id,change_type,real_type,reason_score,solution_score
51010,failure,failure,tensor(0.9566),tensor(0.5919)
50012,failure,failure,tensor(0.9656),tensor(0.6880)
40009,failure,normal,tensor(0.7239),tensor(0.4452)
50009,failure,failure,tensor(0.9530),tensor(0.6295)
41009,failure,normal,tensor(0.8072),tensor(0.3994)
40007,failure,normal,tensor(0.8405),tensor(0.4898)
40011,failure,normal,tensor(0.7225),tensor(0.4816)
50008,failure,failure,tensor(0.9591),tensor(0.6852)
51012,failure,failure,tensor(0.9426),tensor(0.5544)
40005,failure,normal,tensor(0.8696),tensor(0.4382)
40008,failure,normal,tensor(0.8219),tensor(0.5102)
41013,failure,normal,tensor(0.7238),tensor(0.6122)
50013,failure,failure,tensor(0.9137),tensor(0.4913)
40012,failure,normal,tensor(0.6599),tensor(0.3482)
50003,failure,failure,tensor(0.9780),tensor(0.6134)
40010,failure,normal,tensor(0.8326),tensor(0.3091)
51011,failure,failure,tensor(0.9411),tensor(0.5862)
41011,failure,normal,tensor(0.5863),tensor(0.4119)
50011,failure,failure,tensor(0.9429),tensor(0.5987)
51009,failure,failure,tensor(0.9340),tensor(0.3924)
40003,failure,normal,tensor(0.7700),tensor(0.7153)
41010,failure,normal,tensor(0.7864),tensor(0.4086)
40013,failure,normal,tensor(0.7277),tensor(0.5547)
50006,failure,failure,tensor(0.9622),tensor(0.5754)
50010,failure,failure,tensor(0.9609),tensor(0.6639)
50004,failure,failure,tensor(0.9545),tensor(0.5875)
40004,failure,normal,tensor(0.8185),tensor(0.4468)
51013,failure,failure,tensor(0.9191),tensor(0.4180)
50007,failure,failure,tensor(0.8422),tensor(0.7151)
50005,failure,failure,tensor(0.8570),tensor(0.6753)
40006,failure,normal,tensor(0.7108),tensor(0.4210)
41012,failure,normal,tensor(0.7098),tensor(0.4209)
