id,ft
51009,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50012,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50003,Wrong IP Address-Configuration Errors-Defective Software Changes
50011,Wrong IP Address-Configuration Errors-Defective Software Changes
51013,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Wrong IP Address-Configuration Errors-Defective Software Changes
50004,Deleting White List by Mistake-Configuration Errors-Defective Software Changes
50008,Wrong IP Address-Configuration Errors-Defective Software Changes
50010,Wrong IP Address-Configuration Errors-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50013,Wrong IP Address-Configuration Errors-Defective Software Changes
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Wrong IP Address-Configuration Errors-Defective Software Changes
50007,Resource Contention-Defective Software Changes
50009,Resource Contention-Defective Software Changes
