id,kpi1,kpi2,kpi3,kpi4,kpi5
40003,net_recv_packet, istio_count, istio_success_rate, cpu_usage, net_send_packet
50007,istio_success_rate, istio_duration, memory_usage, net_send_packet, cpu_usage
50012,net_recv_packet, istio_count, istio_success_rate, net_send_packet, istio_duration
40004,net_recv_packet, istio_count, istio_success_rate, memory_usage, istio_duration
40009,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
40010,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
40006,istio_success_rate, istio_duration, net_send_packet, net_recv_packet, istio_count
51010,net_recv_packet, istio_count, istio_success_rate, net_send_packet, istio_duration
40012,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
50013,net_recv_packet, istio_success_rate, cpu_usage, istio_duration, net_send_packet
50009,net_recv_packet, istio_success_rate, istio_duration, cpu_usage, net_send_packet
41009,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
40013,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
41013,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
51011,net_recv_packet, istio_count, istio_success_rate,  memory_usage, istio_duration
40008,istio_success_rate, istio_duration, net_send_packet, istio_count, net_recv_packet
40007,istio_success_rate, istio_duration, net_send_packet, net_recv_packet, istio_count
50010,istio_duration, istio_success_rate, memory_usage, net_send_packet, cpu_usage
41011,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
50003,istio_success_rate, net_recv_packet, istio_count, net_send_packet, istio_duration
40011,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
41010,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
41012,net_recv_packet, istio_count, istio_success_rate, net_send_packet, memory_usage
50004,istio_success_rate, istio_duration, net_send_packet, istio_count, memory_usage
50008,net_recv_packet, istio_count, istio_success_rate, cpu_usage, net_send_packet
50011,istio_duration, net_recv_packet, istio_count, istio_success_rate, memory_usage
50005,istio_duration, istio_success_rate, net_recv_packet, memory_usage, istio_count
50006,net_recv_packet, istio_count, istio_success_rate, net_send_packet, istio_duration
40005,istio_success_rate, istio_duration, net_send_packet, net_recv_packet, istio_count
51013,net_recv_packet, istio_count, istio_success_rate, net_send_packet, istio_duration
51012,istio_success_rate, memory_usage, istio_duration, net_send_packet, istio_count
51009,istio_success_rate, istio_duration, net_send_packet, net_recv_packet, istio_count
