id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.7826),tensor(0.5441)
40012,failure,normal,tensor(0.7565),tensor(0.0490)
50009,failure,failure,tensor(0.8549),tensor(0.6933)
40011,failure,normal,tensor(0.4948),tensor(-0.0066)
40003,failure,normal,tensor(0.6169),tensor(0.0942)
51012,failure,failure,tensor(0.9129),tensor(0.5115)
40008,failure,normal,tensor(0.4470),tensor(0.1022)
50004,failure,failure,tensor(0.8576),tensor(0.9411)
40007,failure,normal,tensor(0.7224),tensor(0.0100)
50006,failure,failure,tensor(0.6866),tensor(0.4963)
41013,failure,normal,tensor(0.6221),tensor(-0.0177)
50013,failure,failure,tensor(0.8647),tensor(0.7297)
50008,failure,failure,tensor(0.7205),tensor(0.7697)
40009,failure,normal,tensor(0.6229),tensor(-0.0079)
51013,failure,failure,tensor(0.7629),tensor(0.7009)
40013,failure,normal,tensor(0.3205),tensor(0.1065)
51009,failure,failure,tensor(0.8949),tensor(0.5559)
51010,failure,failure,tensor(0.8324),tensor(0.5853)
40004,failure,normal,tensor(0.6438),tensor(0.0429)
50012,failure,failure,tensor(0.8170),tensor(0.6842)
40005,failure,normal,tensor(0.6553),tensor(-0.0355)
50011,failure,failure,tensor(0.7717),tensor(0.6467)
50007,failure,failure,tensor(0.7833),tensor(0.7389)
40010,failure,normal,tensor(0.5738),tensor(0.2595)
40006,failure,normal,tensor(0.6059),tensor(-0.0115)
41012,failure,normal,tensor(0.7470),tensor(0.0171)
41009,failure,normal,tensor(0.4948),tensor(0.0209)
51011,failure,failure,tensor(0.7756),tensor(0.5356)
41010,failure,normal,tensor(0.4442),tensor(0.0343)
50010,failure,failure,tensor(0.7104),tensor(0.6600)
41011,failure,normal,tensor(0.5096),tensor(0.0983)
50003,failure,failure,tensor(0.8361),tensor(0.6001)
