id,kpi1,kpi2,kpi3,kpi4,kpi5
40009,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
40012,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
51009,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
41009,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
51011,net_recv_packet, cpu_usage, istio_count, istio_duration, diskio
50012,memory_usage, cpu_usage, istio_duration, diskio, net_recv_packet
50003,net_recv_packet, net_send_packet, memory_usage, istio_duration, istio_count
41011,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
40005,memory_usage, cpu_usage, diskio, istio_duration, net_recv_packet
50011,net_recv_packet, net_send_packet, memory_usage, cpu_usage, istio_duration
41010,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
51013,net_send_packet, memory_usage, cpu_usage, diskio, istio_count
40003,cpu_usage, diskio, istio_duration, memory_usage, net_send_packet
51012,net_recv_packet, net_send_packet, memory_usage, cpu_usage, istio_count
40008,memory_usage, cpu_usage, diskio, istio_duration, net_recv_packet
50004,memory_usage, cpu_usage, istio_duration, diskio, net_recv_packet
40013,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
50008,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
41012,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
50010,memory_usage, cpu_usage, istio_duration, diskio, istio_count
41013,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
40011,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
40007,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
51010,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
40004,cpu_usage, diskio, istio_duration, memory_usage, net_send_packet
40010,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
40006,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
50013,memory_usage, cpu_usage, diskio, istio_duration, net_recv_packet
50005,net_recv_packet, net_send_packet, memory_usage, cpu_usage, istio_count
50006,net_recv_packet, net_send_packet, memory_usage, cpu_usage, istio_duration
50007,net_recv_packet, net_send_packet, memory_usage, cpu_usage, diskio
50009,cpu_usage, istio_duration, memory_usage, net_recv_packet, net_send_packet
