id,kpi1,kpi2,kpi3,kpi4,kpi5
50013,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
50006,Resource Contention-Defective Software Changes,,,,
41010,Latency > 10ms\nError rate: 2%\nThroughput: -50%\nUptime: -10%\nConnection error rate: 3%,,,,
40005,latency increased by 10%, error rate rose by 20%, request throughput decreased by 15%, connection timeout frequency doubled,  database query response time increased by 25%
40013,Latency, Error Rate, Uptime, Throughput, Request Processing Time
40004,N/A,,,,
40008,Latency, Error Rate, Throughput, Uptime, Request Success Rate
50008,Resource Contention-Defective Software Changes,,,,
51013,istio_duration, net_send_packet, istio_success_rate, net_recv_packet, diskio
41013,SCWARN algorithm identifies anomalies at the following timestamps: \n1, 2024-10-07 13:02:00,,,
50004,system latency, error rates, uptime, throughput,
50005,Resource Contention-Defective Software Changes,,,,
40006,None,,,,
41012,,,,,
50003,Resource Contention-Defective Software Changes,,,,
40009,,,,,
50012,Resource Contention-Defective Software Changes,,,,
50009,Resource Contention-Defective Software Changes,,,,
51010,Resource Contention-Defective Software Changes,,,,
51011,Resource Contention-Defective Software Changes, Newly generated log pattern,,,
50011,net_recv_packet, istio_success_rate, net_send_packet, diskio, istio_duration
50007,Network Traffic,,,,
51009,Resource Contention-Defective Software Changes,,,,
40012,SCWARN algorithm identifies anomalies at the following timestamps: 1, 2024-10-07 13:02:00,,,
40010,Start string not found.,,,,
40003,System latency, Error rates, Throughput, Uptime, Newly generated log pattern
40007,SCWARN algorithm identifies anomalies at timestamps 1, 2024-10-07 03:12:00 and 2, 2024-10-07 03:16:00,,
50010,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
51012,Resource Contention-Defective Software Changes,,,,
41009,Not Available (SCWARN algorithm identifies anomalies at timestamp),,,,
41011,Latency, Error Rate, Throughput,,
40011,SCWARN algorithm identifies anomalies at the following timestamps: \n1, 2024-10-07 13:02:00,,,
