id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.7718),tensor(0.7946)
40012,normal,normal,tensor(0.7666),tensor(0.7470)
50009,failure,failure,tensor(0.8447),tensor(0.7741)
40011,failure,normal,tensor(0.6475),tensor(0.4710)
40003,failure,normal,tensor(0.7603),tensor(0.5494)
51012,failure,failure,tensor(0.7501),tensor(0.7465)
40008,failure,normal,tensor(0.6418),tensor(0.5733)
50004,failure,failure,tensor(0.7887),tensor(0.7724)
40007,failure,normal,tensor(0.6598),tensor(0.4718)
50006,failure,failure,tensor(0.7249),tensor(0.7042)
41013,failure,normal,tensor(0.7702),tensor(0.4754)
50013,failure,failure,tensor(0.6928),tensor(0.7310)
50008,failure,failure,tensor(0.8038),tensor(0.7344)
40009,failure,normal,tensor(0.6578),tensor(0.4775)
51013,failure,failure,tensor(0.8169),tensor(0.8576)
40013,normal,normal,tensor(0.6414),tensor(0.5440)
51009,failure,failure,tensor(0.7443),tensor(0.7469)
51010,failure,failure,tensor(0.8016),tensor(0.8337)
40004,failure,normal,tensor(0.6151),tensor(0.6011)
50012,failure,failure,tensor(0.7426),tensor(0.7789)
40005,failure,normal,tensor(0.6304),tensor(0.4262)
50011,failure,failure,tensor(0.7630),tensor(0.5508)
50007,failure,failure,tensor(0.8170),tensor(0.8075)
40010,normal,normal,tensor(0.6637),tensor(0.4863)
40006,failure,normal,tensor(0.5717),tensor(0.6743)
41012,failure,normal,tensor(0.6439),tensor(0.5741)
41009,normal,normal,tensor(0.6611),tensor(0.8364)
51011,failure,failure,tensor(0.7689),tensor(0.8523)
41010,normal,normal,tensor(0.7066),tensor(0.5907)
50010,failure,failure,tensor(0.7150),tensor(0.7423)
41011,failure,normal,tensor(0.7219),tensor(0.3879)
50003,failure,failure,tensor(0.7764),tensor(0.7272)
