id,change_type,real_type,reason_score,solution_score
40011,normal,normal,tensor(0.8630),tensor(0.9602)
51010,failure,failure,tensor(0.8278),tensor(0.7056)
50009,failure,failure,tensor(0.9682),tensor(0.7964)
41011,normal,normal,tensor(0.8987),tensor(0.9490)
40009,normal,normal,tensor(0.8233),tensor(0.9602)
41013,normal,normal,tensor(0.8913),tensor(0.9540)
40003,normal,normal,tensor(0.8752),tensor(0.9474)
40007,normal,normal,tensor(0.8400),tensor(0.8364)
40004,normal,normal,tensor(0.8222),tensor(0.9602)
50010,failure,failure,tensor(0.8181),tensor(0.7504)
51011,failure,failure,tensor(0.7525),tensor(0.6590)
51013,failure,failure,tensor(0.6647),tensor(0.7069)
50005,failure,failure,tensor(0.7276),tensor(0.7791)
40012,normal,normal,tensor(0.7089),tensor(0.9490)
50004,failure,failure,tensor(0.9746),tensor(0.7859)
40006,normal,normal,tensor(0.7120),tensor(0.8364)
41010,normal,normal,tensor(0.8793),tensor(0.8364)
41009,normal,normal,tensor(0.8197),tensor(0.9602)
50003,failure,failure,tensor(0.8342),tensor(0.8528)
51012,failure,failure,tensor(0.7312),tensor(0.7039)
50013,failure,failure,tensor(0.7373),tensor(0.6286)
40010,normal,normal,tensor(0.9502),tensor(0.6935)
50006,failure,failure,tensor(0.8179),tensor(0.6607)
50008,failure,failure,tensor(0.8798),tensor(0.7898)
50012,failure,failure,tensor(0.8627),tensor(0.7592)
51009,failure,failure,tensor(0.9036),tensor(0.6384)
50007,failure,failure,tensor(0.8518),tensor(0.6934)
50011,failure,failure,tensor(0.8517),tensor(0.8169)
40008,normal,normal,tensor(0.8148),tensor(0.8364)
41012,normal,normal,tensor(0.7712),tensor(0.9540)
40005,normal,normal,tensor(0.7945),tensor(0.7470)
40013,normal,normal,tensor(0.7743),tensor(0.8364)
