id,change_type,real_type,reason_score,solution_score
40006,normal,normal,tensor(0.7485),tensor(0.6935)
51013,normal,failure,tensor(0.9178),tensor(0.6274)
40012,normal,normal,tensor(0.8704),tensor(0.7470)
40010,normal,normal,tensor(0.7260),tensor(0.7340)
41012,normal,normal,tensor(0.7270),tensor(0.9490)
51011,normal,failure,tensor(0.9202),tensor(0.4459)
41011,normal,normal,tensor(0.7789),tensor(0.7915)
40013,normal,normal,tensor(0.7963),tensor(0.7470)
40007,normal,normal,tensor(0.8871),tensor(0.7915)
50008,normal,failure,tensor(0.8984),tensor(0.3276)
40005,normal,normal,tensor(0.8534),tensor(0.9602)
51012,normal,failure,tensor(0.7467),tensor(0.7606)
51010,normal,failure,tensor(0.7784),tensor(0.5507)
40009,normal,normal,tensor(0.9146),tensor(0.8462)
41013,normal,normal,tensor(0.8446),tensor(0.7470)
50007,failure,failure,tensor(0.7693),tensor(0.6330)
40003,normal,normal,tensor(0.6814),tensor(0.8424)
41010,normal,normal,tensor(0.8074),tensor(0.6935)
50005,normal,failure,tensor(0.7942),tensor(0.7166)
40011,normal,normal,tensor(0.7644),tensor(0.8877)
40008,normal,normal,tensor(0.8416),tensor(0.8877)
50003,normal,failure,tensor(0.6253),tensor(0.4030)
50006,normal,failure,tensor(0.8410),tensor(0.4775)
51009,normal,failure,tensor(0.8204),tensor(0.7908)
50011,normal,failure,tensor(0.7295),tensor(0.5291)
50009,normal,failure,tensor(0.7654),tensor(0.9199)
50010,failure,failure,tensor(0.9772),tensor(0.7145)
50004,normal,failure,tensor(0.6967),tensor(0.4590)
50013,normal,failure,tensor(0.8221),tensor(0.4306)
50012,normal,failure,tensor(0.7993),tensor(0.8748)
41009,normal,normal,tensor(0.8447),tensor(0.7340)
40004,normal,normal,tensor(0.7549),tensor(0.7865)
