id,kpi1,kpi2,kpi3,kpi4,kpi5
40003,istio_success_rate, istio_duration, memory_usage, istio_success_rate, net_send_packet
50007,istio_success_rate, istio_duration, memory_usage, net_send_packet, cpu_usage
50012,istio_success_rate, istio_duration, net_send_packet, istio_success_rate, memory_usage
40004,istio_success_rate, istio_duration, memory_usage, net_send_packet, cpu_usage
40009,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
40010,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
40006,istio_success_rate, istio_duration, net_send_packet, memory_usage, cpu_usage
51010,istio_success_rate, net_send_packet, istio_duration, memory_usage,
40012,istio_success_rate, net_send_packet, memory_usage, cpu_usage, istio_duration
50013,istio_success_rate, istio_duration, cpu_usage, net_send_packet, memory_usage
50009,istio_success_rate, cpu_usage, net_send_packet, istio_duration, memory_usage
41009,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
40013,istio_success_rate, net_send_packet, memory_usage, cpu_usage, istio_duration
41013,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
51011,istio_success_rate, istio_duration, net_send_packet, cpu_usage, memory_usage
40008,istio_success_rate, cpu_usage, istio_duration, net_send_packet, memory_usage
40007,istio_success_rate, istio_duration, net_send_packet, memory_usage, cpu_usage
50010,istio_success_rate, memory_usage, istio_duration, net_send_packet, cpu_usage
41011,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
50003,istio_success_rate, istio_duration, net_send_packet, memory_usage, cpu_usage
40011,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
41010,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
41012,istio_success_rate, net_send_packet, memory_usage, istio_duration, cpu_usage
50004,istio_success_rate, istio_duration, net_send_packet, istio_success_rate, memory_usage
50008,istio_success_rate, istio_duration, net_send_packet, cpu_usage, memory_usage
50011,istio_success_rate, istio_duration, memory_usage, net_send_packet, cpu_usage
50005,istio_success_rate, istio_duration, memory_usage, net_send_packet, cpu_usage
50006,istio_success_rate, istio_duration, net_send_packet, istio_success_rate, memory_usage
40005,istio_success_rate, cpu_usage, istio_duration, net_send_packet, memory_usage
51013,istio_success_rate, net_send_packet, istio_duration, istio_success_rate, memory_usage
51012,istio_success_rate, istio_duration, memory_usage, net_send_packet, cpu_usage
51009,istio_success_rate, istio_duration, net_send_packet,  memory_usage, cpu_usage
