id,change_type,real_type,reason_score,solution_score
40009,failure,normal,tensor(0.6429),tensor(0.5273)
40012,failure,normal,tensor(0.7072),tensor(0.5478)
51009,failure,failure,tensor(0.9467),tensor(0.7997)
41009,failure,normal,tensor(0.6820),tensor(0.4046)
51011,failure,failure,tensor(0.8596),tensor(0.8304)
50012,failure,failure,tensor(0.8750),tensor(0.6860)
50003,failure,failure,tensor(0.8822),tensor(0.8256)
41011,failure,normal,tensor(0.6653),tensor(0.5407)
40005,failure,normal,tensor(0.7035),tensor(0.4885)
50011,failure,failure,tensor(0.8808),tensor(0.7451)
41010,failure,normal,tensor(0.6324),tensor(0.4661)
51013,failure,failure,tensor(0.8586),tensor(0.7824)
40003,failure,normal,tensor(0.6633),tensor(0.4425)
51012,failure,failure,tensor(0.9227),tensor(0.5818)
40008,failure,normal,tensor(0.6783),tensor(0.7876)
50004,failure,failure,tensor(0.9154),tensor(0.8898)
40013,failure,normal,tensor(0.6704),tensor(0.5376)
50008,failure,failure,tensor(0.8233),tensor(0.8347)
41012,failure,normal,tensor(0.7002),tensor(0.6031)
50010,failure,failure,tensor(0.8741),tensor(0.7749)
41013,failure,normal,tensor(0.6456),tensor(0.5036)
40011,failure,normal,tensor(0.6585),tensor(0.4277)
40007,failure,normal,tensor(0.6808),tensor(0.5561)
51010,failure,failure,tensor(0.8375),tensor(0.7344)
40004,failure,normal,tensor(0.6443),tensor(0.6710)
40010,failure,normal,tensor(0.6409),tensor(0.4706)
40006,failure,normal,tensor(0.6879),tensor(0.5287)
50013,failure,failure,tensor(0.8979),tensor(0.9130)
50005,failure,failure,tensor(0.8023),tensor(0.6378)
50006,failure,failure,tensor(0.8118),tensor(0.6355)
50007,failure,failure,tensor(0.8853),tensor(0.7885)
50009,failure,failure,tensor(0.8953),tensor(0.6632)
