id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.7655),tensor(0.8166)
40012,normal,normal,tensor(0.9525),tensor(0.9490)
50009,failure,failure,tensor(0.8964),tensor(0.6789)
40011,normal,normal,tensor(0.6445),tensor(0.7188)
40003,normal,normal,tensor(1.0000),tensor(0.8364)
51012,failure,failure,tensor(0.8753),tensor(0.7935)
40008,normal,normal,tensor(1.0000),tensor(0.7915)
50004,failure,failure,tensor(0.8665),tensor(0.6507)
40007,normal,normal,tensor(1.0000),tensor(0.9602)
50006,failure,failure,tensor(0.8554),tensor(0.9246)
41013,normal,normal,tensor(0.7539),tensor(0.9540)
50013,failure,failure,tensor(0.9420),tensor(0.7267)
50008,failure,failure,tensor(0.8148),tensor(0.7910)
40009,normal,normal,tensor(0.7801),tensor(0.8424)
51013,failure,failure,tensor(0.9336),tensor(0.7733)
40013,normal,normal,tensor(0.9152),tensor(0.8364)
51009,failure,failure,tensor(0.9228),tensor(0.7650)
51010,failure,failure,tensor(0.8192),tensor(0.7956)
40004,normal,normal,tensor(0.8439),tensor(0.7188)
50012,failure,failure,tensor(0.8251),tensor(0.7083)
40005,normal,normal,tensor(0.9813),tensor(0.8424)
50011,failure,failure,tensor(0.8529),tensor(0.9113)
50007,failure,failure,tensor(0.7378),tensor(0.5993)
40010,normal,normal,tensor(0.9385),tensor(0.7915)
40006,normal,normal,tensor(0.9533),tensor(0.8424)
41012,normal,normal,tensor(1.0000),tensor(0.9490)
41009,normal,normal,tensor(0.7536),tensor(0.8364)
51011,failure,failure,tensor(0.9295),tensor(0.9269)
41010,normal,normal,tensor(0.9370),tensor(0.8364)
50010,failure,failure,tensor(0.8391),tensor(0.8995)
41011,normal,normal,tensor(0.6870),tensor(0.4133)
50003,failure,failure,tensor(0.9003),tensor(0.7010)
