id,kpi1,kpi2,kpi3,kpi4,kpi5
40009,N/A,,,,
40012,,,,,
51009,memory_usage, cpu_usage, istio_duration,,
41009,None,,,,
51011,cpu_usage, istio_count, istio_duration, memory_usage, diskio
50012,memory_usage, cpu_usage, diskio, istio_duration, istio_count
50003,memory_usage, cpu_usage, istio_duration, diskio,
41011,N/A,,,,
40005,Start string not found.,,,,
50011,memory_usage, cpu_usage, istio_duration, istio_count, diskio
41010,Start string not found.,,,,
51013,memory_usage, cpu_usage, istio_count, istio_duration, diskio
40003,None,,,,
51012,memory_usage, cpu_usage, istio_count, istio_duration, diskio
40008,,,,,
50004,memory_usage, cpu_usage, istio_duration,,
40013,,,,,
50008,memory_usage,cpu_usage,diskio,istio_duration,
41012,Start string not found.,,,,
50010,istio_duration, memory_usage, cpu_usage, diskio, istio_count
41013,,,,,
40011,Start string not found.,,,,
40007,,,,,
51010,memory_usage, cpu_usage, diskio, istio_duration, istio_count
40004,Start string not found.,,,,
40010,,,,,
40006,Start string not found.,,,,
50013,cpu_usage, diskio, istio_duration,,
50005,memory_usage, cpu_usage, istio_count, istio_duration, diskio
50006,memory_usage, cpu_usage, istio_duration, diskio, istio_count
50007,memory_usage, cpu_usage, istio_duration, diskio, istio_count
50009,cpu_usage, istio_duration, memory_usage, diskio, istio_count
