id,kpi1,kpi2,kpi3,kpi4,kpi5
50013,istio_success_rate, net_send_packet, istio_duration, diskio, net_recv_packet
50006,istio_success_rate, net_send_packet, diskio, istio_duration, net_recv_packet
41010,,,,,
40005,Start string not found.,,,,
40013,Not applicable,,,,
40004,Start string not found.,,,,
40008,Start string not found.,,,,
50008,istio_success_rate, diskio, net_recv_packet,,
51013,istio_success_rate, net_send_packet, istio_duration, net_recv_packet, diskio
41013,,,,,
50004,istio_success_rate, net_send_packet, istio_duration, diskio, net_recv_packet
50005,istio_success_rate, net_recv_packet, net_send_packet, istio_duration, diskio
40006,,,,,
41012,,,,,
50003,istio_success_rate, net_recv_packet, istio_duration, net_send_packet, diskio
40009,Start string not found.,,,,
50012,istio_success_rate, net_send_packet, net_recv_packet, istio_duration, diskio
50009,diskio, istio_duration, net_recv_packet, istio_success_rate, net_send_packet
51010,diskio, istio_duration, net_recv_packet, istio_success_rate, net_send_packet
51011,net_send_packet, istio_success_rate, net_recv_packet, istio_duration, diskio
50011,net_recv_packet, istio_success_rate, net_send_packet, diskio, istio_duration
50007,istio_success_rate, net_send_packet, istio_duration, diskio, net_recv_packet
51009,istio_success_rate, net_send_packet, istio_duration, diskio, net_recv_packet
40012,N/A,,,,
40010,,,,,
40003,Start string not found.,,,,
40007,Start string not found.,,,,
50010,istio_success_rate, net_send_packet, net_recv_packet, diskio, istio_duration
51012,istio_success_rate,net_recv_packet,net_send_packet,diskio, istio_duration
41009,,,,,
41011,None,,,,
40011,,,,,
