id,change_type,real_type,reason_score,solution_score
51010,failure,failure,tensor(0.8781),tensor(0.6045)
50012,failure,failure,tensor(0.8892),tensor(0.7326)
40009,normal,normal,tensor(0.7890),tensor(0.9490)
50009,failure,failure,tensor(0.8887),tensor(0.8248)
41009,normal,normal,tensor(0.6919),tensor(0.9490)
40007,normal,normal,tensor(0.7788),tensor(0.8424)
40011,normal,normal,tensor(0.8010),tensor(0.9602)
50008,failure,failure,tensor(0.8472),tensor(0.7443)
51012,failure,failure,tensor(0.9076),tensor(0.5296)
40005,normal,normal,tensor(0.6596),tensor(0.7915)
40008,normal,normal,tensor(0.6713),tensor(0.9490)
41013,normal,normal,tensor(0.8286),tensor(0.6826)
50013,failure,failure,tensor(0.9376),tensor(0.9225)
40012,normal,normal,tensor(0.8405),tensor(0.7915)
50003,failure,failure,tensor(0.8842),tensor(0.5561)
40010,normal,normal,tensor(0.7608),tensor(0.7188)
51011,failure,failure,tensor(0.8819),tensor(0.7997)
41011,normal,normal,tensor(0.9481),tensor(0.8424)
50011,failure,failure,tensor(0.9660),tensor(0.7300)
51009,failure,failure,tensor(0.8861),tensor(0.7920)
40003,normal,normal,tensor(0.8640),tensor(0.7915)
41010,normal,normal,tensor(0.8123),tensor(0.8424)
40013,normal,normal,tensor(0.9072),tensor(0.8364)
50006,failure,failure,tensor(0.8782),tensor(0.6052)
50010,failure,failure,tensor(0.8844),tensor(0.7089)
50004,failure,failure,tensor(0.8479),tensor(0.6242)
40004,normal,normal,tensor(0.8446),tensor(0.8424)
51013,failure,failure,tensor(0.7345),tensor(0.5031)
50007,failure,failure,tensor(0.9149),tensor(0.8175)
50005,failure,failure,tensor(0.8901),tensor(0.5572)
40006,normal,normal,tensor(0.8336),tensor(0.7188)
41012,normal,normal,tensor(0.7571),tensor(0.8364)
