id,change_type,real_type,reason_score,solution_score
50005,failure,failure,tensor(0.8088),tensor(0.8864)
40012,normal,normal,tensor(0.6718),tensor(0.6935)
50009,failure,failure,tensor(0.7854),tensor(0.8090)
40011,normal,normal,tensor(0.6709),tensor(0.9540)
40003,failure,normal,tensor(0.6210),tensor(0.6010)
51012,failure,failure,tensor(0.7646),tensor(0.7353)
40008,normal,normal,tensor(0.7616),tensor(0.9602)
50004,failure,failure,tensor(0.7227),tensor(0.8543)
40007,failure,normal,tensor(0.6208),tensor(0.5346)
50006,failure,failure,tensor(0.8338),tensor(0.5160)
41013,failure,normal,tensor(0.9064),tensor(0.4923)
50013,failure,failure,tensor(0.8305),tensor(0.7786)
50008,failure,failure,tensor(0.7662),tensor(0.7708)
40009,failure,normal,tensor(0.6640),tensor(0.6220)
51013,failure,failure,tensor(0.7300),tensor(0.8384)
40013,normal,normal,tensor(0.7008),tensor(0.5753)
51009,failure,failure,tensor(0.6586),tensor(0.6823)
51010,failure,failure,tensor(0.6788),tensor(0.7985)
40004,normal,normal,tensor(0.8116),tensor(0.9540)
50012,failure,failure,tensor(0.7476),tensor(0.5638)
40005,failure,normal,tensor(0.6304),tensor(0.4262)
50011,normal,failure,tensor(0.6678),tensor(0.4558)
50007,failure,failure,tensor(0.6191),tensor(0.3972)
40010,normal,normal,tensor(0.5950),tensor(0.4747)
40006,failure,normal,tensor(0.5346),tensor(0.5613)
41012,normal,normal,tensor(0.8541),tensor(0.6935)
41009,normal,normal,tensor(0.6816),tensor(0.9602)
51011,failure,failure,tensor(0.7654),tensor(0.9446)
41010,normal,normal,tensor(0.7080),tensor(0.5656)
50010,failure,failure,tensor(0.8078),tensor(0.6388)
41011,failure,normal,tensor(0.6408),tensor(0.3748)
50003,failure,failure,tensor(0.8359),tensor(0.8547)
