id,ft
51009,Resource Contention-Defective Software Changes
51011,Wrong IP Address-Configuration Errors-Defective Software Changes
50012,Network Traffic
50003,Resource Contention-Defective Software Changes
50011,Resource Contention-Defective Software Changes
51013,Wrong IP Address-Configuration Errors-Defective Software Changes
51012,Resource Contention-Defective Software Changes
50004,Resource Contention-Defective Software Changes
50008,Resource Contention-Defective Software Changes
50010,Resource Contention-Defective Software Changes
51010,Resource Contention-Defective Software Changes
50013,Resource Contention-Defective Software Changes
50005,Wrong IP Address-Configuration Errors-Defective Software Changes
50006,Resource Contention-Defective Software Changes
50007,Network Traffic
50009,Resource Contention-Defective Software Changes
