id,kpi1,kpi2,kpi3,kpi4,kpi5
51012,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
50005,istio_duration, istio_usage, net_send_packet, memory_usage, cpu_usage
41012,The SCWARN algorithm identified anomalies at timestamps: 1, 2024-10-07 10:50:00\n2, 2024-10-07 19:50:00\n3, 2024-10-07 22:42:00,
40008,Start string not found.,,,,
50007,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
50004,Resource Contention-Defective Software Changes,,,,
40012,Start string not found.,,,,
50010,system latency, error rates, throughput,,
51013,istio_duration, net_send_packet, net_recv_packet, memory_usage, cpu_usage
50011,Network Traffic,,,,
51009,Resource Contention-Defective Software Changes,,,,
50012,memory_usage, cpu_usage, net_send_packet, istio_duration, diskio
50008,[Network Traffic],,,,
40007,,,,,
40003,System latency, Error rates, Uptime, Throughput,
41009,No KPIs identified as abnormal.,,,,
50009,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
51010,system latency, error rates, uptime, throughput,
41010,N/A,,,,
40004,None,,,,
40013,Latency, Error Rate, Throughput, Uptime,
50013,[1] memory_usage [2] cpu_usage [3] net_send_packet [4] istio_duration [5] net_recv_packet,,,,
40005,NA,,,,
40006,,,,,
51011,Resource Contention-Defective Software Changes,,,,
40010,,,,,
50006,Resource Contention-Defective Software Changes,,,,
50003,Wrong IP Address-Configuration Errors-Defective Software Changes,,,,
41013,N/A,,,,
40009,N/A,,,,
41011,,,,,
40011,Not Available - SCWARN Algorithm flagged anomalies at specific timestamps (2024-10-07 10:50:00 and 2024-10-07 19:50:00) without specifying affected KPIs.,,,,
